Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.8421211,0.48043764,0.8678466,0.5194612,0.33238843
20.00,0.5764082,0.23082033,0.63006717,0.26983997,0.110482074
30.00,0.34160593,0.11089478,0.40401945,0.1401714,0.036722966
40.00,0.18255518,0.053278025,0.23592348,0.0728136,0.012206289
50.00,0.08311514,0.02559677,0.12312386,0.037823845,0.004057229
60.00,0.03733003,0.012297652,0.061531287,0.01964802,0.001348576
70.00,0.010418825,0.0059082545,0.02367897,0.010206385,4.4825108E-4
80.00,0.003310307,0.002838548,0.010119864,0.0053018206,1.4899348E-4
90.00,0.0010395662,0.0013637453,0.0038690944,0.0027540904,4.952371E-5
100.00,0.0,6.5519457E-4,0.0010694806,0.0014306431,1.6461108E-5
110.00,0.0,3.1478016E-4,4.4724686E-4,7.4316363E-4,5.4714824E-6
120.00,0.0,1.5123223E-4,1.4764356E-4,3.8604467E-4,1.8186574E-6
130.00,0.0,7.2657655E-5,1.2677704E-5,2.0053523E-4,6.045007E-7
140.00,0.0,3.4907473E-5,0.0,1.0417028E-4,2.0092905E-7
