Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,179.59,0.005568198,1989,211.81,0.004721245,1686.33
SSanAndreasIndio,277.37,0.0036053,149.13,0.00670549,2395,161.53,0.006190806,2211.09
SSAFMCreek1000Palms,261.33,0.0038266,1437.00,6.9589575E-4,248,2203.83,4.5375462E-4,161.55
NSanAndreasFortRoss,306.28,0.003265,163.24,0.006125814,2187,166.25,0.0060150637,2147.46
NSanAndreasNorthCoast,263.87,0.0037898,156.31,0.0063976366,2284,161.65,0.006186099,2208.47
CalaverasfaultNorth,618.05,0.001618,143.16,0.0069851773,2495,218.54,0.004575879,1634.1
ElsinoreTemecula,1019.16,9.812E-4,597.59,0.0016733906,598,629.73,0.0015879851,567.44
ElsinoreWhittier,3196.93,3.128E-4,1349.41,7.410672E-4,264,1439.13,6.94862E-4,247.37
SSAFCarrizoBidart,114.71,0.0087179,104.85,0.009537282,3406,109.16,0.009160635,3271.49
SanJacintoHogLake,311.78,0.0032074,312.03,0.0032048034,1145,315.96,0.0031649123,1130.74
PuenteHills,3506.31,2.852E-4,3989.21,2.5067636E-4,89,4588.23,2.179491E-4,77.35
SanGregorioNorth,1019.06,9.813E-4,341.14,0.0029313182,1047,356.24,0.0028070707,1002.62
SanJacintoSuperstition,508.26,0.0019675,1035.75,9.654886E-4,345,1145.86,8.7270944E-4,311.9
SSanAndreasWrightwood,106.04,0.0094304,132.38,0.007553794,2698,134.41,0.0074399416,2657.33
SSanAndreasPitmanCanyon,173.48,0.0057643,121.44,0.008234392,2941,139.71,0.007157659,2556.45
SSanAndreasPlungeCreek,205.36,0.0048695,313.29,0.0031919621,1139,406.30,0.0024612064,878.2
FrazierMountianSSAF,148.57,0.0067307,101.43,0.009858863,3521,107.83,0.009274026,3312.1
NSanAndreasSantaCruzSeg,109.84,0.0091041,104.33,0.009585226,3423,125.56,0.007964124,2844
RodgersCreek,325.31,0.003074,148.45,0.0067362334,2406,213.63,0.0046809227,1671.67
GreenValleyMasonRoad,293.31,0.0034094,1515.66,6.5977994E-4,235,2138.66,4.6758182E-4,166.2
HaywardfaultNorth,318.34,0.0031413,320.87,0.003116491,1113,333.35,0.0029998347,1071.31
HaywardfaultSouth,167.57,0.0059677,299.71,0.0033365043,1192,342.54,0.002919381,1043
Compton,2658.16,3.762E-4,5421.66,1.844452E-4,65,6104.30,1.6381904E-4,57.81
SSanAndreasCoachella,178.45,0.0056037,152.57,0.006554238,2341,165.92,0.0060271327,2152.6
ElsinoreGlenIvy,179.12,0.0055828,497.93,0.00200832,718,551.74,0.0018124478,647.98
GarlockCentralallevents,1434.93,6.969E-4,554.53,0.0018033168,644,566.88,0.0017640505,629.95
NSanAndreasAlderCreek,869.64,0.0011499,163.32,0.0061230115,2186,166.62,0.0060017947,2142.71
SSanAndreasPallettCreek,149.30,0.006698,132.43,0.007550993,2697,134.34,0.0074438546,2658.73
GarlockWesternallevents,1230.16,8.129E-4,716.44,0.0013957829,499,742.44,0.0013469134,481.49
ElsinoreFaultJulian,3250.98,3.076E-4,1074.26,9.308736E-4,333,1105.38,9.046689E-4,323.61
TOTAL,9.08,0.1101451,12.36,0.080884226,28887,14.04,0.071227394,25438.25
