Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
5.05,2.78112869513257,0.20547050366198144,1.7131476643368075,2.1367766934594066,2.7729962505392485,2.809866444035339,2.880997821385665,2.8926694930856467,7.724722567810498
5.15,3.2938344360860445,0.6608031645659549,1.8724456997378078,2.6980731859148928,2.8066478972040882,2.8807241913110935,4.212288582579727,4.322608009766994,11.240181878158493
5.25,4.55673895426537,0.6274641095581697,2.0771179604414964,3.910244321348545,4.208671641671261,4.287927452849355,5.609976217802492,5.762841021606353,14.02311338714995
5.35,6.238603344635135,0.8800922993290557,3.3089399037826293,4.9105319450453075,5.612459385838664,5.762459809731483,7.142655202378946,8.411703587925757,19.665539240642914
5.45,8.52918240736849,1.2279201533721014,3.8256231163232512,6.529117788915534,7.1465268977880765,8.461048548440386,9.828984530226684,11.228502656942782,25.256536701172152
5.55,11.550229261559243,1.6536180591540863,5.115593585252557,8.642510785952085,9.928684823373874,11.408429214991386,12.962341444056031,14.919407469875441,34.382407121737266
5.65,15.530166054235007,2.248235875904064,6.874398191051068,11.570002367768083,13.43660878632738,15.442036998768117,17.29241247693991,20.165091615275134,44.92677462786852
5.75,20.824548445094564,3.0441695012735575,9.98127796031099,15.718485573067143,18.22309658656088,20.419855409569166,23.828798540050737,27.193988986760946,57.18144664206339
5.85,27.830080158074917,4.029940421036299,12.616880782777326,21.0507285800464,24.100859936046152,27.373322780793742,31.496181314781225,36.30704994412783,72.99461873788766
5.95,37.0155034379383,5.253796362101972,17.646699449484597,28.09175064099653,32.20350004705218,36.51291089419584,41.777755312745725,47.94102039275047,106.66991410544944
6.05,49.027309642448,6.835945017948184,22.805735266210743,37.273250935454385,42.57441963560633,48.591217787447725,55.46368777757332,63.17114263729681,120.24929391181662
6.15,64.9301998587128,8.982950118445844,29.683802731387686,49.38160853447705,56.32901740279306,64.3158239256397,73.40344086484663,83.5472860396163,173.89121255029883
6.25,85.66898010332264,11.65878608127012,43.89575586378455,65.75200167564346,74.54276019060575,84.85530785316794,96.5877374955441,110.03314982189077,199.4625485425356
6.35,111.87373217970415,15.139567713452863,57.26913455398126,85.76221243716073,97.48861341203664,110.82079118693018,126.3461830605331,144.04545963529222,230.78024727090255
6.45,145.00450630276015,19.950193580334652,76.66834332926035,111.3897367736363,125.99224414238869,143.24472567385737,164.10660721608767,188.05392235245782,350.93681911050345
6.55,187.65481960682908,27.19518993200524,83.77237716494939,142.47518975466497,161.65340269723742,184.52510757306146,214.2835287977862,247.69683980885847,354.31825713026444
6.65,241.7743060334422,35.85283426652494,119.67516326245683,181.31277628319847,206.69229094357314,238.17051846642275,277.5039293435811,318.9655806174796,509.5377318904907
6.75,312.98084376886186,46.982128182462745,165.36152147546625,229.73806912705544,266.48475880467055,310.3777066439694,359.85896811189605,410.74776058268645,629.0658579889032
6.85,398.39009280244585,57.49154283750781,237.73657370138952,303.77527913386024,341.09964118761815,393.2788704988008,455.20814040590477,527.7947547849554,698.0005061981531
6.95,497.0480881157257,76.57616028268065,252.4798052004502,376.6925649092359,422.8896150559766,486.9246616363977,573.2254195004293,672.7868268867653,850.6576597440866
7.05,631.835341607785,93.77872460051117,372.06926691145566,458.84945754417737,541.6646207773688,627.8377284466433,717.1612274684379,842.5892275889911,1148.0167068192397
7.15,785.760792429562,123.4582537396046,434.6414853363888,598.6843115346439,666.4915367988767,765.1661490471863,912.2597562498551,1064.2373568376595,1389.797895320803
7.25,1021.0674988573066,144.0245965570995,568.8736205057049,763.5510673466131,884.6373727180437,1001.4577697636994,1156.18947524761,1350.042190967473,1776.7096683039827
7.35,1287.9649869893844,192.8224011484952,822.3597804117953,982.720126642148,1104.7070540862617,1249.8188196757546,1481.0670655325653,1717.1851017653537,2436.7281926318365
7.45,1703.9291802064017,275.9470945296912,1079.0325009302933,1203.9454773868658,1429.5461873166576,1679.718310895264,1986.6992615672705,2278.3219735782973,3088.735078227842
7.55,2287.9822112473275,337.45867566084735,1480.342265314451,1713.9997151977066,1972.7761566110823,2244.549266224115,2605.480997087997,3029.1516588953846,4142.477529561936
7.65,3026.709916650692,499.8892939465847,1756.4871757468552,2231.1552846622526,2491.387266139279,2994.186355048929,3543.0829177822106,4071.654432730078,5238.743307320176
7.75,4176.982842637388,654.1216808029625,2611.7695682217063,3045.720957771383,3470.4112029519442,4148.712023252465,4850.256586979594,5479.416326103721,6084.72961417678
7.85,6047.613024438983,763.2880233697023,3097.9785809203713,4599.271776419936,5212.104438242997,6092.505993246026,6796.036630581643,7339.304134252479,8564.785846120501
7.95,7245.8735127673135,688.2390255090718,4733.940789122157,5400.540239553534,6778.393404206572,7227.722433056166,7853.3400795404505,8647.835927113898,9443.771416349624
8.05,7778.516926718116,1602.914850324741,6480.417848499085,6480.417848499085,6480.417848499085,7332.741994887087,9968.165868599206,9968.165868599206,9968.165868599206
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
