Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.97377604,0.75843614,0.97752154,0.7748734,0.72878754
20.00,0.9058843,0.57522535,0.91831684,0.60042876,0.53113127
30.00,0.8096018,0.43627173,0.8331244,0.46525624,0.3870819
40.00,0.6910714,0.33088425,0.7259891,0.36051467,0.28210047
50.00,0.5757843,0.25095457,0.6197773,0.2793532,0.2055913
60.00,0.46307266,0.19033301,0.5117848,0.21646336,0.14983238
70.00,0.3536137,0.14435543,0.40542346,0.1677317,0.10919597
80.00,0.25745985,0.109484375,0.30884215,0.12997082,0.079580665
90.00,0.17836446,0.08303691,0.22675633,0.10071093,0.057997398
100.00,0.1175748,0.06297819,0.15875313,0.078038216,0.04226778
110.00,0.07305293,0.04776494,0.105160184,0.060469735,0.030804234
120.00,0.03992303,0.036226653,0.063611515,0.04685639,0.022449743
130.00,0.015856583,0.027475605,0.03152,0.036307767,0.016361093
140.00,0.005122791,0.020838492,0.013067003,0.028133921,0.011923761
150.00,0.0011212347,0.015804665,0.004121632,0.021800226,0.008689889
160.00,7.128151E-4,0.011986828,0.0023038713,0.016892415,0.0063330824
170.00,5.4510764E-4,0.009091244,0.0015419662,0.013089483,0.0046154717
180.00,0.0,0.006895128,6.0588395E-4,0.010142691,0.0033636983
190.00,0.0,0.0052295146,2.777799E-4,0.007859302,0.0024514215
200.00,0.0,0.003966253,1.5978573E-4,0.0060899635,0.0017865654
210.00,0.0,0.0030081493,5.7853864E-5,0.0047189505,0.0013020267
220.00,0.0,0.002281489,4.181383E-5,0.003656589,9.489008E-4
230.00,0.0,0.0017303638,1.7298553E-5,0.0028333934,6.915471E-4
240.00,0.0,0.0013123705,1.4794804E-5,0.002195521,5.039909E-4
250.00,0.0,9.953493E-4,1.2291055E-5,0.0017012508,3.673023E-4
260.00,0.0,7.5490883E-4,0.0,0.0013182539,2.6768536E-4
