Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.8592502,0.49965683,0.8802889,0.53651637,0.33238843
20.00,0.60742927,0.24965695,0.65497243,0.28784984,0.110482074
30.00,0.38305417,0.1247428,0.4384308,0.15443616,0.036722966
40.00,0.22120807,0.062328592,0.2711201,0.08285753,0.012206289
50.00,0.11826586,0.031142907,0.15777273,0.04445442,0.004057229
60.00,0.054648645,0.015560766,0.08237009,0.023850525,0.001348576
70.00,0.023489555,0.007775043,0.040197413,0.012796197,4.4825108E-4
80.00,0.008119831,0.0038848533,0.017266102,0.0068653696,1.4899348E-4
90.00,0.0034901483,0.0019410935,0.0071756467,0.0036833833,4.952371E-5
100.00,8.222261E-4,9.698806E-4,0.0024898725,0.0019761955,1.6461108E-5
110.00,4.5571194E-4,4.8460747E-4,8.4753736E-4,0.0010602613,5.4714824E-6
120.00,0.0,2.4213744E-4,3.9407506E-4,5.688475E-4,1.8186574E-6
130.00,0.0,1.2098562E-4,1.2200042E-4,3.0519604E-4,6.045007E-7
140.00,0.0,6.0451293E-5,0.0,1.6374266E-4,2.0092905E-7
