Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
5.05,2.7924027818676462,0.1643272782917319,1.7798973565828664,2.1671738187450944,2.802842657873297,2.820260648397765,2.8810318856605646,2.8927186261186457,5.762017958993904
5.15,3.551508574097824,0.6918127124234733,1.8724456997378078,2.7104888639528455,2.8080328962683,3.5950192904068707,4.287551684522657,4.323023667256528,9.816976911465042
5.25,4.7142050370789095,0.6737970774209184,2.081147547475912,3.9952887093900022,4.209782716354185,4.3209780396748485,5.640337301968808,5.763719352394165,12.643506642534218
5.35,6.425422840504177,0.8702312632278405,3.026708578999359,5.020234886573486,5.6147326046594745,6.47526112732321,7.193085125415924,8.425356476475116,15.438351254758517
5.45,8.75654625159029,1.1536029421696026,4.152337661690249,6.770878620699374,7.254582943854403,8.575345924497515,9.981338784714657,11.238686211787247,18.72786476501506
5.55,11.829595817866506,1.541046055514212,5.115593585252557,8.924911551321806,10.082924466495962,11.523666191614323,13.01910516790464,14.87856290689473,23.86351861320628
5.65,15.885728625123948,2.0795439832130835,7.0094209682835285,12.147872498662748,14.028871284701644,15.722422782416661,18.232454009530194,20.091421746787958,33.68122670238554
5.75,21.25528925597219,2.796316312009349,10.09956397882017,16.104552398139717,18.4799167121453,21.079535899280025,24.1009253319454,27.092107541323948,52.09691836233934
5.85,28.273271330165887,3.6638943263073,13.793624336720331,21.597297917719153,24.518083174743424,28.08237625181212,31.824466542696722,35.82593630559328,56.90123726302876
5.95,37.543275489613094,4.878914394334383,18.4930246334754,28.58334278394762,32.798688819462875,37.41077951880043,42.40679116299858,47.53935084021906,72.01309132755256
6.05,49.69497798609195,6.4271987142111975,22.8067014735002,37.880966880870254,43.33302679265505,49.24981948616181,56.17197371476835,62.866812198966024,77.80422739900843
6.15,65.8823186511208,8.49136026674704,33.935722534281425,50.45046198248266,57.59804844294781,65.43102812299769,74.40083309375046,83.54128025431949,125.64850080397473
6.25,86.69305258293784,11.084756443982725,44.42171763113098,66.67799120424716,75.72311516114617,86.21860596643319,97.94203627814794,109.46373485126747,150.00798270100958
6.35,113.85616366935639,14.791548001357311,55.62416954665406,87.26039965573692,99.34077742095258,113.00459380126229,128.63041482056974,144.55204789610056,213.8807839499152
6.45,147.58372369946494,19.66870297720427,78.22110510826451,113.59813567191655,128.40700582471257,146.00175203934432,166.85386144106647,190.0358106408464,284.95645298231835
