Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.8634792,0.51065373,0.88373035,0.544779,0.33238843
20.00,0.6166304,0.26076725,0.66291726,0.29678416,0.110482074
30.00,0.39264545,0.13316177,0.44818848,0.16168179,0.036722966
40.00,0.2241975,0.06799955,0.2758873,0.088080846,0.012206289
50.00,0.11802377,0.034724224,0.1577398,0.047984596,0.004057229
60.00,0.060060818,0.017732056,0.0871017,0.026140999,0.001348576
70.00,0.026501445,0.00905494,0.042891573,0.014241068,4.4825108E-4
80.00,0.011052874,0.0046239393,0.019940395,0.007758235,1.4899348E-4
90.00,0.0047416072,0.0023612317,0.009772949,0.0042265235,4.952371E-5
100.00,9.164104E-4,0.0012057718,0.0033320382,0.0023025214,1.6461108E-5
110.00,0.0,6.157319E-4,0.0010900871,0.0012543653,5.4714824E-6
120.00,0.0,3.144258E-4,2.3633229E-4,6.833519E-4,1.8186574E-6
130.00,0.0,1.605627E-4,3.059048E-5,3.7227577E-4,6.045007E-7
140.00,0.0,8.1991944E-5,6.0299662E-6,2.0280802E-4,2.0092905E-7
150.00,0.0,4.1869494E-5,0.0,1.10485555E-4,6.678649E-8
