Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
5.05,2.8107159413614364,0.16238213568570067,1.7436882733989791,2.2941350983974265,2.8030874988260703,2.8203567263149285,2.881085459690186,2.893146008974308,8.609706571597755
5.15,3.9282793590878646,0.588919104670976,1.8725041544652146,2.7946621408728975,2.8821092702147952,4.210340048542925,4.320691505991051,4.3389961397160075,11.343749940031783
5.25,4.951152809574017,0.7555403371943786,2.0771551279869773,4.045171860806739,4.2116872408487795,4.8509112873277545,5.716792125010637,5.78637198676719,14.282947021910426
5.35,6.707380544746227,0.9661727503929534,3.343944097874553,5.322935046574985,5.649068632754369,7.014528421461581,7.204983700673882,8.641591147397845,19.672142863752907
5.45,9.119013937683533,1.2714236927432458,4.233805471578077,7.006976698346722,8.229798991835949,8.646056425614304,10.083487716612371,11.524734508186652,27.00498794610059
5.55,12.227364181228042,1.7105191060934035,5.546652226531131,9.422704360701557,10.726645291472321,12.17197913317383,14.033810799600372,15.742582438364426,36.4535246085659
5.65,16.315958977426497,2.2910060428194576,7.500045714992879,12.544144258104083,14.10027259318345,15.87824854688969,18.534443110973733,21.219753151192464,42.135372684851184
5.75,21.71738787689129,3.0962979474249295,10.149623001569143,16.53678152397092,18.724156906468284,21.452614907605174,24.489392806998552,28.20121440899917,50.07012840120639
5.85,28.817244547123014,4.02320756152788,13.617272991228283,21.864278641131406,25.21812872212529,28.540720036187814,32.45891372621654,37.20826756095741,89.83666034374228
5.95,38.00895083281872,5.204935117864586,18.655406755944686,28.987150182366875,33.12653763198014,37.59211439019384,42.99259858610215,48.931827678433535,81.39309844537483
6.05,50.22007658640657,6.859225520150003,25.981152159400125,38.167704972907835,43.589918092761856,49.79967481209033,56.645814543129774,64.59338994891435,153.10096052090933
6.15,66.13144339312312,8.735500382921803,31.07295365388909,50.88202865487086,57.61806987270009,65.58309176658916,74.54275140129629,84.27637581642327,143.87417950520685
6.25,86.87421029030037,11.394016162178884,43.02557022894259,66.68468940207907,75.89102457810249,86.12373824925866,97.94696985766016,110.8672506482132,214.98934776143702
6.35,113.39745652204577,15.162505265688122,59.82060249493928,86.83454261511656,98.63310482186365,112.361328995017,128.19974434101334,145.52035179072433,242.1199968958648
6.45,146.6226444209162,19.99188818236273,73.38814259762735,112.51468548792874,127.03635798298247,145.10180467783087,166.14515716944456,189.47087285458986,257.6193038334025
6.55,188.29642269797074,27.343448847614454,92.07970266240909,143.1974032530385,161.64423143493386,185.58480478863396,215.43708215264755,249.50688183989553,368.78360165963204
6.65,244.48560896707713,36.83740884326398,134.33181283619825,182.8314281252159,208.2321362710348,241.24735067869267,282.21076252493435,322.9644997043877,454.11782664337994
6.75,316.45226362528604,47.823473159713835,162.59263804380623,230.15052739256038,268.2748145005833,313.878241627709,365.14404687060403,413.50753837798067,561.0199243324769
6.85,401.54498303214496,59.024915392582734,191.443814670287,305.356397942914,341.97860802289955,395.58050468548487,461.3247892666656,531.8562678440658,778.2368935728459
6.95,502.03880924149576,78.41716382000179,279.3152967385776,376.2902133086257,424.9961698709172,492.5230276865493,579.4230856175515,678.9551344012871,904.7458554684965
7.05,636.3879001555463,96.690867493898,369.26759320032755,464.71531179785705,544.4619953864027,629.4413072944261,726.8377251574797,852.4407458279909,1138.614915949838
7.15,789.7989488274447,126.83265495264384,404.65627689506744,599.2103059697317,669.0411229334312,765.8350565596965,920.3486233726547,1078.2716674186615,1505.83341559485
7.25,1023.9576569830657,146.90696483458467,569.6511942558919,768.512535232213,885.5400413671421,1002.8120072147454,1161.0665135051897,1368.0823443574093,1961.7991160865915
7.35,1291.3695084308586,196.1767246296149,794.1841175366947,979.2105815119178,1105.7491979904964,1250.9396060626818,1484.3525180520119,1726.3554811599902,2483.225326635008
7.45,1698.618495943604,281.93185262475436,1103.208525884139,1198.8884507528735,1418.5780242830817,1671.2453256164692,1984.108659240822,2284.720745946146,2986.9258694661826
7.55,2299.7491070205388,337.26624910456076,1553.3908223605808,1732.616336752207,1978.5269186798175,2254.5539528074105,2623.7779559057294,3030.6362317982803,4233.011257571622
7.65,3035.2389607886607,494.8546745790077,1783.7862243230531,2245.628509542907,2501.1038147439194,2997.738636854952,3550.082840017879,4076.124206097127,4786.807807939711
7.75,4173.553467676842,650.0607385663126,2641.932847239065,3075.9308268388854,3501.302896344608,4132.37152406597,4824.226926626395,5488.614796715002,6474.893019046156
7.85,6067.752713665429,732.7671751605332,3543.6930097372165,4629.7581718578,5236.29231783558,6099.492568628087,6802.948805683275,7313.44744886735,7850.861803197399
7.95,7316.923644563528,814.5808383363359,4521.26191421258,5328.142867975006,6793.664224409267,7316.218239285694,7946.533498945035,9161.880947569536,10162.08854663422
8.05,7966.700085049622,211.35497796978953,7817.24954688965,7817.24954688965,7817.24954688965,7966.700085049622,8116.1506232095935,8116.1506232095935,8116.1506232095935
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
