Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,206.41,0.0048448322,2223,235.23,0.004251162,1950.55
SSanAndreasIndio,277.37,0.0036053,170.95,0.005849628,2685,181.78,0.0055012396,2525
SSAFMCreek1000Palms,261.33,0.0038266,1608.33,6.2176294E-4,286,2316.33,4.3171787E-4,198.35
NSanAndreasFortRoss,306.28,0.003265,186.63,0.005358065,2460,189.26,0.005283632,2425.84
NSanAndreasNorthCoast,263.87,0.0037898,178.92,0.005589035,2566,183.57,0.0054473984,2500.95
CalaverasfaultNorth,618.05,0.001618,164.86,0.006065726,2784,238.08,0.0042002606,1927.45
ElsinoreTemecula,1019.16,9.812E-4,679.36,0.0014719797,676,707.96,0.0014125,648.66
ElsinoreWhittier,3196.93,3.128E-4,1566.51,6.3836016E-4,293,1640.19,6.0968444E-4,279.81
SSAFCarrizoBidart,114.71,0.0087179,118.98,0.0084051,3858,122.67,0.008152205,3741.92
SanJacintoHogLake,311.78,0.0032074,354.45,0.0028212327,1295,358.54,0.002789098,1280.24
PuenteHills,3506.31,2.852E-4,5131.11,1.9488958E-4,89,5573.27,1.7942773E-4,81.93
SanGregorioNorth,1019.06,9.813E-4,387.27,0.0025821622,1185,401.80,0.0024887968,1142.15
SanJacintoSuperstition,508.26,0.0019675,1207.69,8.2802516E-4,379,1284.14,7.787326E-4,356.42
SSanAndreasWrightwood,106.04,0.0094304,150.65,0.0066377837,3047,152.36,0.0065633045,3012.81
SSanAndreasPitmanCanyon,173.48,0.0057643,140.46,0.0071193827,3268,155.81,0.006417957,2946.01
SSanAndreasPlungeCreek,205.36,0.0048695,354.37,0.0028218816,1295,439.97,0.0022728771,1042.89
FrazierMountianSSAF,148.57,0.0067307,117.60,0.008503162,3903,122.85,0.008139941,3736.31
NSanAndreasSantaCruzSeg,109.84,0.0091041,119.89,0.008341112,3828,138.85,0.0072022,3305.15
RodgersCreek,325.31,0.003074,168.41,0.0059380545,2725,229.71,0.004353288,1997.59
GreenValleyMasonRoad,293.31,0.0034094,1663.33,6.012035E-4,275,2288.96,4.3687905E-4,199.69
HaywardfaultNorth,318.34,0.0031413,366.69,0.0027271088,1251,376.89,0.00265326,1217.14
HaywardfaultSouth,167.57,0.0059677,334.50,0.0029895725,1372,374.05,0.0026734115,1226.84
Compton,2658.16,3.762E-4,6359.69,1.5724046E-4,72,6950.27,1.4387921E-4,65.93
SSanAndreasCoachella,178.45,0.0056037,174.06,0.0057450146,2637,185.92,0.0053787874,2468.74
ElsinoreGlenIvy,179.12,0.0055828,574.28,0.0017413027,799,616.75,0.0016214071,744.01
GarlockCentralallevents,1434.93,6.969E-4,634.83,0.0015752345,723,646.22,0.0015474509,710.22
NSanAndreasAlderCreek,869.64,0.0011499,185.65,0.0053863917,2473,188.78,0.0052972925,2432.09
SSanAndreasPallettCreek,149.30,0.006698,150.36,0.006650859,3053,152.07,0.006575807,3018.55
GarlockWesternallevents,1230.16,8.129E-4,817.80,0.0012227868,561,840.24,0.0011901362,546.01
ElsinoreFaultJulian,3250.98,3.076E-4,1249.83,8.0010894E-4,367,1277.33,7.8288256E-4,359.12
TOTAL,9.08,0.1101451,14.21,0.07037018,32300,15.77,0.063401185,29101.28
