Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9701896,0.74551207,0.9745533,0.7632386,0.72878754
20.00,0.8940464,0.5557883,0.9084781,0.5825331,0.53113127
30.00,0.78726035,0.41434687,0.8142547,0.44461176,0.3870819
40.00,0.6619684,0.3089006,0.7013885,0.33934486,0.28210047
50.00,0.5370188,0.23028912,0.5858356,0.2590011,0.2055913
60.00,0.4128715,0.17168333,0.46736166,0.19767962,0.14983238
70.00,0.3126415,0.12799199,0.36754316,0.15087672,0.10919597
80.00,0.220288,0.09541958,0.2716223,0.11515494,0.079580665
90.00,0.1442906,0.071136445,0.19110695,0.08789069,0.057997398
100.00,0.09070344,0.05303308,0.12923682,0.06708156,0.04226778
110.00,0.048216958,0.039536804,0.07721554,0.05119924,0.030804234
120.00,0.025401475,0.029475164,0.044076104,0.039077234,0.022449743
130.00,0.0073386603,0.02197409,0.018223234,0.029825253,0.016361093
140.00,5.1372265E-4,0.01638195,0.00519747,0.022763785,0.011923761
150.00,0.0,0.012212941,0.0021740962,0.017374199,0.008689889
160.00,0.0,0.009104895,0.0012681813,0.013260659,0.0063330824
170.00,0.0,0.0067878095,5.908576E-4,0.010121047,0.0046154717
180.00,0.0,0.0050603943,3.2263383E-4,0.007724773,0.0033636983
190.00,0.0,0.003772585,1.5669696E-4,0.005895845,0.0024514215
200.00,0.0,0.0028125076,5.9907277E-5,0.0044999365,0.0017865654
210.00,0.0,0.0020967585,2.8476314E-5,0.003434525,0.0013020267
220.00,0.0,0.0015631587,1.615801E-5,0.002621362,9.489008E-4
230.00,0.0,0.0011653537,1.14821705E-5,0.0020007247,6.915471E-4
240.00,0.0,8.6878525E-4,9.093568E-6,0.0015270303,5.039909E-4
250.00,0.0,6.476899E-4,4.6995633E-6,0.0011654884,3.673023E-4
260.00,0.0,4.8286066E-4,0.0,8.895458E-4,2.6768536E-4
