Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,259.38,0.0038552766,2117,282.93,0.0035344262,1940.63
SSanAndreasIndio,277.37,0.0036053,215.54,0.0046394044,2547,224.30,0.0044583105,2447.62
SSAFMCreek1000Palms,261.33,0.0038266,2045.02,4.8899365E-4,269,2689.34,3.718387E-4,204.44
NSanAndreasFortRoss,306.28,0.003265,237.49,0.0042106723,2311,240.13,0.004164353,2285.58
NSanAndreasNorthCoast,263.87,0.0037898,225.95,0.0044257627,2429,230.01,0.0043476573,2386.12
CalaverasfaultNorth,618.05,0.001618,206.29,0.004847467,2660,273.68,0.0036539645,2004.85
ElsinoreTemecula,1019.16,9.812E-4,854.40,0.0011704118,643,874.95,0.001142921,627.9
ElsinoreWhittier,3196.93,3.128E-4,1901.85,5.258028E-4,289,1961.74,5.097503E-4,280.15
SSAFCarrizoBidart,114.71,0.0087179,151.79,0.006587907,3616,154.84,0.006458446,3544.95
SanJacintoHogLake,311.78,0.0032074,446.96,0.002237348,1229,451.93,0.0022127149,1215.47
PuenteHills,3506.31,2.852E-4,6165.47,1.6219365E-4,89,6582.73,1.5191271E-4,83.4
SanGregorioNorth,1019.06,9.813E-4,506.70,0.0019735368,1083,517.10,0.0019338557,1061.2
SanJacintoSuperstition,508.26,0.0019675,1502.23,6.656778E-4,365,1572.00,6.361315E-4,348.78
SSanAndreasWrightwood,106.04,0.0094304,191.01,0.005235303,2874,193.08,0.005179087,2843.15
SSanAndreasPitmanCanyon,173.48,0.0057643,180.46,0.00554144,3042,194.69,0.0051364405,2819.69
SSanAndreasPlungeCreek,205.36,0.0048695,454.92,0.0021981897,1207,526.74,0.0018984829,1042.34
FrazierMountianSSAF,148.57,0.0067307,146.39,0.0068311905,3750,151.27,0.00661063,3628.74
NSanAndreasSantaCruzSeg,109.84,0.0091041,149.95,0.006668951,3661,164.85,0.006066271,3330.21
RodgersCreek,325.31,0.003074,206.23,0.0048490046,2661,262.14,0.0038148037,2093.43
GreenValleyMasonRoad,293.31,0.0034094,2196.15,4.5534314E-4,250,2721.26,3.6747687E-4,201.66
HaywardfaultNorth,318.34,0.0031413,464.75,0.0021516879,1181,472.47,0.0021165216,1161.67
HaywardfaultSouth,167.57,0.0059677,424.83,0.0023538808,1293,457.52,0.0021856998,1200.62
Compton,2658.16,3.762E-4,7533.54,1.3273973E-4,72,8015.64,1.2475606E-4,67.66
SSanAndreasCoachella,178.45,0.0056037,219.77,0.0045501147,2498,230.63,0.0043360246,2380.5
ElsinoreGlenIvy,179.12,0.0055828,737.68,0.0013556066,744,777.45,0.0012862483,705.92
GarlockCentralallevents,1434.93,6.969E-4,806.51,0.001239915,681,817.17,0.0012237385,672.12
NSanAndreasAlderCreek,869.64,0.0011499,237.90,0.004203381,2307,240.67,0.0041550407,2280.47
SSanAndreasPallettCreek,149.30,0.006698,191.14,0.005231659,2872,193.09,0.0051790564,2843.11
GarlockWesternallevents,1230.16,8.129E-4,1035.94,9.6530945E-4,529,1052.36,9.502467E-4,520.75
ElsinoreFaultJulian,3250.98,3.076E-4,1587.92,6.2975555E-4,345,1609.63,6.212612E-4,340.36
TOTAL,9.08,0.1101451,17.95,0.055715326,30585,19.40,0.05154268,28294.36
