Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9873971,0.8296863,0.9884276,0.83585864,0.72878754
20.00,0.954596,0.68837935,0.9579426,0.69865966,0.53113127
30.00,0.90406865,0.5711389,0.9106477,0.5839807,0.3870819
40.00,0.8376404,0.47386613,0.8482648,0.4881253,0.28210047
50.00,0.76460165,0.39316025,0.7793091,0.40800372,0.2055913
60.00,0.6868891,0.32619965,0.70519,0.34103343,0.14983238
70.00,0.60718286,0.27064338,0.62878364,0.28505573,0.10919597
80.00,0.527093,0.22454911,0.5510569,0.23826629,0.079580665
90.00,0.44900987,0.18630533,0.47452077,0.19915693,0.057997398
100.00,0.37584108,0.15457498,0.40269673,0.16646704,0.04226778
110.00,0.30678138,0.12824874,0.33277762,0.1391429,0.030804234
120.00,0.24623874,0.10640622,0.27101868,0.1163038,0.022449743
130.00,0.19594757,0.088283785,0.2191134,0.09721353,0.016361093
140.00,0.14773092,0.07324784,0.16887414,0.08125677,0.011923761
150.00,0.10786471,0.060772736,0.12635988,0.06791917,0.008689889
160.00,0.07496349,0.050422303,0.09084543,0.056770824,0.0063330824
170.00,0.053482894,0.041834693,0.0666708,0.047452383,0.0046154717
180.00,0.035943,0.034709673,0.04628218,0.039663482,0.0033636983
190.00,0.022108268,0.02879814,0.02991639,0.033153065,0.0024514215
200.00,0.012267524,0.023893423,0.017762579,0.027711274,0.0017865654
210.00,0.0059380024,0.019824045,0.009144486,0.023162708,0.0013020267
220.00,0.0032624102,0.01644774,0.0049416223,0.019360749,9.489008E-4
230.00,0.0015153674,0.013646464,0.0024411974,0.01618285,6.915471E-4
240.00,0.0010446709,0.011322284,0.0012838092,0.013526574,5.039909E-4
250.00,7.769787E-4,0.0093939435,0.0011013901,0.011306304,3.673023E-4
260.00,5.270692E-4,0.0077940263,6.353228E-4,0.009450471,2.6768536E-4
270.00,0.0,0.006466597,2.1678388E-4,0.007899257,1.9508575E-4
280.00,0.0,0.005365247,9.86172E-5,0.0066026626,1.4217607E-4
290.00,0.0,0.004451472,6.4321226E-5,0.0055188923,1.0361615E-4
300.00,0.0,0.0036933252,4.3387103E-5,0.004613014,7.551416E-5
310.00,0.0,0.0030643013,3.0896204E-5,0.0038558273,5.503378E-5
320.00,0.0,0.0025424089,1.8580462E-5,0.0032229265,4.0107934E-5
330.00,0.0,0.0021094019,0.0,0.0026939109,2.9230163E-5
