Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],9.3190145E-4,5.9146504E-4,0.0,0.0
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],1.4910423E-4,1.4488463E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.001304662,8.893027E-4,0.0011928339,0.0010535378
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],9.372266E-4,7.1596587E-4,5.325151E-4,5.049071E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0016454717,9.282452E-4,8.946254E-4,8.2363206E-4
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],4.9523904E-4,3.28126E-4,3.6211027E-4,3.434108E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.014894447,0.007983953,0.0049151145,0.0044898656
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0017306741,0.0013949522,0.0014590914,0.0013670613
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],8.679996E-4,7.2060846E-4,9.15926E-4,8.2150777E-4
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],9.478769E-4,5.4258574E-4,0.0,0.0
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.002002257,0.0015392022,0.0,0.0
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.002220588,0.0013041461,0.0,0.0
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.0116727315,0.0061995676,0.0,0.0
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.0038554093,0.0022381842,0.0,0.0
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.010384045,0.0065151607,0.0,0.0
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.011337247,0.0063514733,0.0,0.0
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.00775342,0.0040577003,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],1.5975453E-4,1.1421734E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.005490231,0.002769765,0.0,0.0
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.003067287,0.0015005282,0.0,0.0
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0071090767,0.0048489016,0.0031684649,0.0030288778
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0010011285,5.830782E-4,0.0,0.0
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.0076682176,0.00615731,0.007897199,0.007098801
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.0025454222,0.0011883844,0.0025187964,0.0015095707
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.00598547,0.004244417,0.0038607346,0.003690761
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.00598547,0.004244417,0.0038500843,0.0036720603
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.0043240227,0.0040776473,0.004371949,0.0042360174
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0057192123,0.0028354984,0.0051174704,0.0038207711
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0022418885,0.001278513,9.691775E-4,5.7679013E-4
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.003589152,0.0016595061,0.0014484411,0.0013888853
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.0057298625,0.0048345844,0.004973691,0.0047902167
