Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,251.55,0.003975418,614,360.14,0.002776668,428.62
SSanAndreasIndio,277.37,0.0036053,172.91,0.0057832072,892,190.46,0.005250556,809.87
SSAFMCreek1000Palms,261.33,0.0038266,429.10,0.0023304343,360,455.25,0.002196582,339.32
CalaverasfaultNorth,618.05,0.001618,20874.66,4.7904978E-5,5,22360.89,4.4720935E-5,4.71
ElsinoreTemecula,1019.16,9.812E-4,788.31,0.0012685285,195,892.62,0.0011202999,172.3
ElsinoreWhittier,3196.93,3.128E-4,9353.43,1.0691262E-4,15,13053.75,7.6606324E-5,10.32
SSAFCarrizoBidart,114.71,0.0087179,104.69,0.009551744,1476,113.56,0.008806062,1360.79
SanJacintoHogLake,311.78,0.0032074,237.58,0.004209056,651,251.12,0.0039821556,615.89
SanGregorioNorth,1019.06,9.813E-4,138.59,0.00721578,1114,188.21,0.005313302,820.1
SanJacintoSuperstition,508.26,0.0019675,1591.46,6.2835385E-4,96,1694.63,5.9010007E-4,90.11
SSanAndreasWrightwood,106.04,0.0094304,158.57,0.0063062822,974,163.68,0.0061093685,943.58
SSanAndreasPitmanCanyon,173.48,0.0057643,986.15,0.0010140442,157,1063.61,9.401952E-4,145.51
SSanAndreasPlungeCreek,205.36,0.0048695,433.51,0.0023067389,356,768.35,0.0013014877,201.12
FrazierMountianSSAF,148.57,0.0067307,173.08,0.0057777213,891,194.03,0.0051537286,794.86
NSanAndreasSantaCruzSeg,109.84,0.0091041,1787.66,5.5939157E-4,50,1990.10,5.0248794E-4,44.92
GreenValleyMasonRoad,293.31,0.0034094,3997.10,2.5018153E-4,38,4294.44,2.3285947E-4,35.43
HaywardfaultNorth,318.34,0.0031413,154518.62,0.0,0,∞,0.0,0
HaywardfaultSouth,167.57,0.0059677,1166.27,8.574331E-4,133,1197.96,8.347554E-4,129.5
Compton,2658.16,3.762E-4,2031.77,4.921827E-4,74,2470.55,4.0476743E-4,61.01
SSanAndreasCoachella,178.45,0.0056037,184.51,0.0054197283,836,196.79,0.005081481,783.84
ElsinoreGlenIvy,179.12,0.0055828,659.54,0.0015162062,234,743.85,0.0013443556,207.55
GarlockCentralallevents,1434.93,6.969E-4,577.55,0.00173145,267,599.36,0.0016684392,257.25
SSanAndreasPallettCreek,149.30,0.006698,162.58,0.006150732,950,168.15,0.0059472197,918.6
GarlockWesternallevents,1230.16,8.129E-4,909.68,0.001099283,168,967.64,0.001033439,157.96
ElsinoreFaultJulian,3250.98,3.076E-4,1028.00,9.727622E-4,150,1157.57,8.6387637E-4,133.22
TOTAL,10.14,0.0985812,18.54,0.05393483,8332,20.87,0.047915064,7402.14
