Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9624187,0.7229853,0.9640429,0.7288388,0.33238843
20.00,0.87109333,0.52270776,0.876151,0.531206,0.110482074
30.00,0.7532213,0.37791002,0.7622617,0.38716358,0.036722966
40.00,0.62339985,0.2732234,0.6359653,0.28217986,0.012206289
50.00,0.51349866,0.1975365,0.5269951,0.20566364,0.004057229
60.00,0.40342355,0.14281599,0.41737562,0.14989564,0.001348576
70.00,0.310921,0.10325386,0.32433748,0.10924976,4.4825108E-4
80.00,0.2343725,0.074651025,0.24753422,0.07962547,1.4899348E-4
90.00,0.17064483,0.053971592,0.18183403,0.058034133,4.952371E-5
100.00,0.116346106,0.03902067,0.12626633,0.04229753,1.6461108E-5
110.00,0.07209854,0.02821137,0.07938997,0.030828083,5.4714824E-6
120.00,0.048296608,0.020396406,0.053912546,0.022468703,1.8186574E-6
130.00,0.0341527,0.014746302,0.038064364,0.016376063,6.045007E-7
140.00,0.02252296,0.01066136,0.026215062,0.011935511,2.0092905E-7
150.00,0.013782014,0.007708006,0.01619757,0.008699064,6.678649E-8
160.00,0.010278196,0.0055727754,0.012439119,0.0063402154,2.2199057E-8
170.00,0.006902874,0.0040290346,0.007897242,0.0046209954,7.37871E-9
180.00,0.002433247,0.0029129328,0.0024218643,0.0033679607,2.452598E-9
190.00,0.0018939854,0.0021060077,0.00155264,0.0024547006,8.152152E-10
200.00,0.001354724,0.0015226125,0.0015031759,0.0017890811,2.709681E-10
210.00,0.0,0.0011008265,4.4829075E-4,0.0013039517,9.006666E-11
220.00,0.0,7.958814E-4,3.7570702E-4,9.503707E-4,2.993712E-11
230.00,0.0,5.7541055E-4,7.347058E-5,6.9266703E-4,9.950752E-12
240.00,0.0,4.1601338E-4,0.0,5.0484267E-4,3.3075149E-12
