Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,9.689059E-4,0.0021273803,0.017682588
5.15,3.0090246E-6,0.0011584745,0.013894371
5.25,3.6007995E-4,0.0011554655,0.010885282
5.35,1.474422E-4,7.953855E-4,0.008495079
5.45,1.4844522E-4,6.479433E-4,0.0065964726
5.55,1.1935798E-4,4.994981E-4,0.0050883563
5.65,8.6258704E-5,3.8014012E-4,0.0038904166
5.75,5.3159434E-5,2.938814E-4,0.0029388594
5.85,3.6108297E-5,2.4072197E-4,0.0021830106
5.95,2.9087238E-5,2.0461368E-4,0.0015826186
6.05,1.8054148E-5,1.7552644E-4,0.0011057102
6.15,1.4042115E-5,1.5747228E-4,7.7639415E-4
6.25,2.9087238E-5,1.4343018E-4,5.653308E-4
6.35,3.1093256E-5,1.1434294E-4,4.7830498E-4
6.45,2.808423E-5,8.324968E-5,4.4015315E-4
6.55,2.4072197E-5,5.5165452E-5,3.4380154E-4
6.65,2.5075205E-5,3.1093256E-5,0.0
6.75,4.012033E-6,6.018049E-6,0.0
6.85,0.0,2.0060165E-6,0.0
6.95,0.0,2.0060165E-6,0.0
7.05,0.0,2.0060165E-6,0.0
7.15,0.0,2.0060165E-6,0.0
7.25,0.0,2.0060165E-6,0.0
7.35,0.0,2.0060165E-6,0.0
7.45,0.0,2.0060165E-6,0.0
7.55,0.0,2.0060165E-6,0.0
7.65,1.0030083E-6,2.0060165E-6,0.0
7.75,0.0,1.0030083E-6,0.0
7.85,1.0030083E-6,1.0030083E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
