Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,8.9267734E-5,2.668002E-4,0.003240045
5.15,1.0030082E-5,1.7753245E-4,0.002508751
5.25,4.7141388E-5,1.6750237E-4,0.0019278632
5.35,2.6078214E-5,1.20360986E-4,0.0014664478
5.45,2.0060164E-5,9.4282776E-5,0.0010999326
5.55,1.103309E-5,7.422261E-5,8.087992E-4
5.65,4.012033E-6,6.318952E-5,5.7754363E-4
5.75,4.012033E-6,5.9177484E-5,3.9385085E-4
5.85,2.0060165E-6,5.5165452E-5,2.479385E-4
5.95,2.0060165E-6,5.3159434E-5,1.3203619E-4
6.05,0.0,5.115342E-5,6.138763E-5
6.15,0.0,5.115342E-5,2.975724E-5
6.25,0.0,5.115342E-5,1.2412565E-5
6.35,0.0,5.115342E-5,1.1412021E-5
6.45,0.0,5.115342E-5,1.0085399E-5
6.55,0.0,5.115342E-5,9.746876E-6
6.65,0.0,5.115342E-5,9.085195E-6
6.75,0.0,5.115342E-5,7.4168865E-6
6.85,0.0,5.115342E-5,6.462506E-6
6.95,2.206618E-5,5.115342E-5,5.2262103E-6
7.05,2.9087238E-5,2.9087238E-5,3.730519E-6
7.15,0.0,0.0,1.917682E-6
7.25,0.0,0.0,5.0835257E-7
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
