Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0011333993,0.0029919734,0.0086100325
5.15,2.4072197E-5,0.0018585742,0.00666779
5.25,4.2828452E-4,0.001834502,0.005125012
5.35,2.1664977E-4,0.0014062176,0.0038995394
5.45,2.8686036E-4,0.0011895677,0.0029261122
5.55,2.1564677E-4,9.027074E-4,0.0021528914
5.65,1.6950839E-4,6.8706064E-4,0.0015387004
5.75,1.2437302E-4,5.1755225E-4,0.001050831
5.85,1.0230684E-4,3.9317922E-4,6.633027E-4
5.95,7.422261E-5,2.9087238E-4,3.5547797E-4
6.05,3.5105288E-5,2.1664977E-4,1.5808294E-4
6.15,1.4042115E-5,1.8154448E-4,7.080213E-5
6.25,7.0210576E-6,1.6750237E-4,2.4014318E-5
6.35,7.0210576E-6,1.6048132E-4,1.3097477E-5
6.45,1.0030083E-6,1.5346026E-4,8.139762E-6
6.55,0.0,1.5245724E-4,6.445268E-6
6.65,0.0,1.5245724E-4,5.1073175E-6
6.75,0.0,1.5245724E-4,4.992053E-6
6.85,0.0,1.5245724E-4,4.664854E-6
6.95,0.0,1.5245724E-4,4.4799067E-6
7.05,3.911732E-5,1.5245724E-4,4.2651513E-6
7.15,7.32196E-5,1.1333993E-4,3.8918083E-6
7.25,2.206618E-5,4.012033E-5,3.3739286E-6
7.35,9.027074E-6,1.8054148E-5,2.7473466E-6
7.45,6.018049E-6,9.027074E-6,2.0051395E-6
7.55,3.0090246E-6,3.0090246E-6,1.1629064E-6
7.65,0.0,0.0,8.5783194E-7
7.75,0.0,0.0,6.5986023E-7
7.85,0.0,0.0,6.027186E-7
7.95,0.0,0.0,5.478757E-7
8.05,0.0,0.0,3.6535724E-7
8.15,0.0,0.0,1.1106757E-7
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
