Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,6.1685004E-4,0.0018665983,0.009323687
5.15,2.206618E-5,0.0012497483,0.0072311196
5.25,2.1564677E-4,0.0012276821,0.0055689337
5.35,1.5145424E-4,0.0010120353,0.004248613
5.45,1.6850539E-4,8.6058106E-4,0.0031998446
5.55,1.15345945E-4,6.9207564E-4,0.0023667784
5.65,7.622862E-5,5.767297E-4,0.0017050505
5.75,6.920757E-5,5.005011E-4,0.0011794212
5.85,5.4162443E-5,4.3129353E-4,7.6189905E-4
5.95,3.0090247E-5,3.771311E-4,4.3024943E-4
6.05,2.206618E-5,3.4704086E-4,1.9608026E-4
6.15,2.0060164E-5,3.2497465E-4,9.729074E-5
6.25,1.705114E-5,3.049145E-4,4.020683E-5
6.35,1.9057155E-5,2.8786337E-4,7.231951E-6
6.45,1.6048132E-5,2.688062E-4,7.229863E-6
6.55,1.2036098E-5,2.5275807E-4,6.112142E-6
6.65,1.9057155E-5,2.4072197E-4,5.309038E-6
6.75,2.1063173E-5,2.2166481E-4,5.12124E-6
6.85,2.4072197E-5,2.0060164E-4,4.219394E-6
6.95,2.306919E-5,1.7652944E-4,3.959554E-6
7.05,2.306919E-5,1.5346026E-4,0.0
7.15,3.5105288E-5,1.3039107E-4,0.0
7.25,4.7141388E-5,9.528578E-5,0.0
7.35,1.9057155E-5,4.8144393E-5,0.0
7.45,7.0210576E-6,2.9087238E-5,0.0
7.55,1.2036098E-5,2.206618E-5,0.0
7.65,1.0030082E-5,1.0030082E-5,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
