Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0028445313,0.009123363,0.010339056
5.15,9.6288786E-5,0.0062788315,0.008132448
5.25,7.6629827E-4,0.0061825425,0.006379678
5.35,6.990967E-4,0.0054162443,0.004987403
5.45,6.539614E-4,0.0047171474,0.0038814791
5.55,5.4162444E-4,0.0040631862,0.0030030129
5.65,3.901702E-4,0.0035215619,0.0023052222
5.75,3.2497465E-4,0.0031313917,0.0017509476
5.85,2.6178514E-4,0.002806417,0.0013106714
5.95,2.0962872E-4,0.002544632,9.6094765E-4
6.05,1.4844522E-4,0.002335003,6.8315223E-4
6.15,1.3841514E-4,0.002186558,4.6312375E-4
6.25,1.0431286E-4,0.0020481427,3.2275167E-4
6.35,9.6288786E-5,0.0019438299,2.1234198E-4
6.45,9.8294804E-5,0.0018475412,1.515022E-4
6.55,9.72918E-5,0.0017492464,1.2620934E-4
6.65,1.0030082E-4,0.0016519545,1.1386139E-4
6.75,1.0030082E-4,0.0015516537,1.1041064E-4
6.85,1.344031E-4,0.0014513528,1.0712946E-4
6.95,1.8054148E-4,0.0013169498,1.0561199E-4
7.05,3.3801378E-4,0.0011364083,1.05218875E-4
7.15,3.5807394E-4,7.9839455E-4,1.0351951E-4
7.25,1.0030082E-4,4.403206E-4,1.0119088E-4
7.35,2.1063173E-4,3.400198E-4,9.538756E-5
7.45,1.22367E-4,1.2938806E-4,8.752637E-5
7.55,7.0210576E-6,7.0210576E-6,7.459596E-5
7.65,0.0,0.0,5.825307E-5
7.75,0.0,0.0,4.5058678E-5
7.85,0.0,0.0,2.9157374E-5
7.95,0.0,0.0,7.2388475E-6
8.05,0.0,0.0,1.5472061E-6
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
