Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0023771294,0.0059077186,0.013573499
5.15,2.306919E-5,0.003530589,0.010772762
5.25,8.9769234E-4,0.0035075198,0.008548057
5.35,5.2056124E-4,0.0026098273,0.006780911
5.45,4.7141386E-4,0.0020892662,0.0053772167
5.55,3.059175E-4,0.0016178522,0.004262223
5.65,2.1263774E-4,0.0013119348,0.003376552
5.75,1.15345945E-4,0.001099297,0.0026730385
5.85,9.8294804E-5,9.83951E-4,0.002114218
5.95,6.619854E-5,8.856563E-4,0.0016703309
6.05,3.7111306E-5,8.194577E-4,0.0013177389
6.15,4.1123338E-5,7.823464E-4,0.0010376652
6.25,3.410228E-5,7.4122305E-4,9.220627E-4
6.35,4.2126347E-5,7.071208E-4,8.3023653E-4
6.45,2.9087238E-5,6.6499447E-4,4.6021063E-4
6.55,2.5075205E-5,6.359072E-4,4.385397E-4
6.65,1.6048132E-5,6.10832E-4,3.133609E-4
6.75,3.2096264E-5,5.9478387E-4,2.522909E-4
6.85,2.306919E-5,5.6268764E-4,2.2102833E-4
6.95,9.027074E-5,5.396184E-4,2.0187131E-4
7.05,4.413236E-5,4.493477E-4,1.9004781E-4
7.15,9.027074E-6,4.052153E-4,1.7388316E-4
7.25,2.0060164E-5,3.9618823E-4,1.6137565E-4
7.35,5.616846E-5,3.7612807E-4,1.3952285E-4
7.45,1.3941815E-4,3.1995962E-4,1.2015535E-4
7.55,1.4944823E-4,1.8054148E-4,1.0233904E-4
7.65,1.2036098E-5,3.1093256E-5,7.764877E-5
7.75,1.9057155E-5,1.9057155E-5,4.7085345E-5
7.85,0.0,0.0,2.4638377E-5
7.95,0.0,0.0,2.775461E-6
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
