Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,5.366094E-4,0.0014232687,0.015436934
5.15,2.808423E-5,8.8665925E-4,0.012142554
5.25,1.4944823E-4,8.5857505E-4,0.009525734
5.35,1.0431286E-4,7.091268E-4,0.0074471207
5.45,1.0230684E-4,6.04814E-4,0.0057960195
5.55,5.9177484E-5,5.0250714E-4,0.004484503
5.65,3.911732E-5,4.4332963E-4,0.0034427287
5.75,4.413236E-5,4.042123E-4,0.0026152176
5.85,2.808423E-5,3.6007995E-4,0.0019579025
5.95,2.0060164E-5,3.3199572E-4,0.0014357783
6.05,6.018049E-6,3.1193555E-4,0.0010210404
6.15,6.018049E-6,3.059175E-4,7.4618147E-4
6.25,4.012033E-6,2.9989946E-4,5.7862327E-4
6.35,3.0090246E-6,2.958874E-4,4.0491382E-4
6.45,4.012033E-6,2.928784E-4,3.7846182E-4
6.55,9.027074E-6,2.8886637E-4,5.6817266E-6
6.65,4.9147402E-5,2.798393E-4,3.48879E-6
6.75,5.3159434E-5,2.3069189E-4,3.48879E-6
6.85,6.018049E-6,1.7753245E-4,2.90309E-6
6.95,4.012033E-6,1.715144E-4,2.5222414E-6
7.05,7.0210576E-6,1.6750237E-4,2.2100373E-6
7.15,1.705114E-5,1.6048132E-4,1.9383792E-6
7.25,2.7081222E-5,1.4343018E-4,1.6388551E-6
7.35,2.7081222E-5,1.1634895E-4,1.4317543E-6
7.45,2.4072197E-5,8.9267734E-5,8.960426E-7
7.55,2.306919E-5,6.5195534E-5,2.053198E-7
7.65,2.4072197E-5,4.2126347E-5,0.0
7.75,1.4042115E-5,1.8054148E-5,0.0
7.85,4.012033E-6,4.012033E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
