Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0020120344,0.005340016,0.0057280743
5.15,3.2096264E-5,0.0033279813,0.004597857
5.25,4.7341987E-4,0.003295885,0.0037000938
5.35,4.5436271E-4,0.002822465,0.002986975
5.45,4.8244695E-4,0.0023681023,0.0024205246
5.55,3.8716118E-4,0.0018856555,0.001970577
5.65,2.7281823E-4,0.0014984943,0.0016131711
5.75,2.2868588E-4,0.001225676,0.0013292733
5.85,1.7352043E-4,9.969901E-4,0.0011037653
5.95,1.3039107E-4,8.234698E-4,9.2463807E-4
6.05,1.2537603E-4,6.930787E-4,7.823521E-4
6.15,1.1133391E-4,5.6770263E-4,6.693304E-4
6.25,6.318952E-5,4.5636873E-4,5.8206456E-4
6.35,4.1123338E-5,3.9317922E-4,5.127468E-4
6.45,2.7081222E-5,3.5205588E-4,4.5879366E-4
6.55,1.3039107E-5,3.2497465E-4,4.1948535E-4
6.65,7.0210576E-6,3.1193555E-4,4.0062497E-4
6.75,1.2036098E-5,3.049145E-4,3.9130816E-4
6.85,2.0060164E-5,2.928784E-4,3.4609844E-4
6.95,9.027074E-6,2.7281823E-4,3.4592557E-4
7.05,1.2036098E-5,2.6379115E-4,2.0939337E-4
7.15,1.3039107E-5,2.5175506E-4,1.7161046E-4
7.25,1.4042115E-5,2.3871596E-4,8.316699E-5
7.35,4.613838E-5,2.2467384E-4,5.052946E-5
7.45,7.32196E-5,1.7853547E-4,4.586531E-5
7.55,5.215643E-5,1.0531586E-4,1.3599443E-5
7.65,2.5075205E-5,5.3159434E-5,7.156327E-6
7.75,1.3039107E-5,2.808423E-5,2.92201E-6
7.85,1.2036098E-5,1.5045123E-5,6.3532957E-7
7.95,3.0090246E-6,3.0090246E-6,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
