Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,5.235703E-4,0.0013721152,0.0033266959
5.15,2.7081222E-5,8.4854494E-4,0.0025769845
5.25,1.5145424E-4,8.214637E-4,0.0019814675
5.35,1.1935798E-4,6.7000947E-4,0.0015084314
5.45,1.1935798E-4,5.506515E-4,0.0011326856
5.55,9.929782E-5,4.3129353E-4,8.3422E-4
5.65,5.8174475E-5,3.3199572E-4,5.971404E-4
5.75,5.8174475E-5,2.7382124E-4,4.0882136E-4
5.85,2.808423E-5,2.1564677E-4,2.5923422E-4
5.95,3.0090247E-5,1.8756253E-4,1.4041296E-4
6.05,1.705114E-5,1.5747228E-4,6.596648E-5
6.15,1.2036098E-5,1.4042115E-4,3.5978028E-5
6.25,7.0210576E-6,1.2838506E-4,1.4682251E-5
6.35,1.0030083E-6,1.2136399E-4,1.3227863E-5
6.45,3.0090246E-6,1.20360986E-4,1.0236818E-5
6.55,0.0,1.1735196E-4,1.0236818E-5
6.65,6.018049E-6,1.1735196E-4,9.057331E-6
6.75,1.0030082E-5,1.1133391E-4,8.133101E-6
6.85,2.306919E-5,1.0130383E-4,5.7651127E-6
6.95,2.4072197E-5,7.823464E-5,4.844765E-6
7.05,1.2036098E-5,5.4162443E-5,4.570457E-6
7.15,1.6048132E-5,4.2126347E-5,4.154984E-6
7.25,2.1063173E-5,2.6078214E-5,4.0137143E-6
7.35,3.0090246E-6,5.015041E-6,3.5806995E-6
7.45,1.0030083E-6,2.0060165E-6,3.0127965E-6
7.55,0.0,1.0030083E-6,2.4814249E-6
7.65,0.0,1.0030083E-6,1.3823751E-6
7.75,0.0,1.0030083E-6,0.0
7.85,1.0030083E-6,1.0030083E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
