Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.006614839,0.018740205,0.0167377
5.15,9.72918E-5,0.012125366,0.013661041
5.25,0.003059175,0.012028075,0.011217164
5.35,0.0014292867,0.0089689,0.0092759235
5.45,0.0015125364,0.0075396127,0.007733941
5.55,0.0011715136,0.0060270764,0.006509101
5.65,9.628879E-4,0.004855563,0.0055356636
5.75,6.9809373E-4,0.0038926748,0.004762842
5.85,5.0451315E-4,0.0031945813,0.0041484195
5.95,4.062183E-4,0.002690068,0.0036608018
6.05,3.049145E-4,0.0022838498,0.002942349
6.15,2.3470393E-4,0.0019789352,0.0023147448
6.25,2.8385132E-4,0.0017442313,0.0012542375
6.35,2.1765278E-4,0.0014603799,9.880789E-4
6.45,1.1835497E-4,0.0012427272,7.672094E-4
6.55,1.1233692E-4,0.0011243722,6.0234085E-4
6.65,9.4282776E-5,0.0010120353,4.5053323E-4
6.75,8.826472E-5,9.177525E-4,3.6642E-4
6.85,5.9177484E-5,8.294878E-4,2.979713E-4
6.95,5.3159434E-5,7.703103E-4,2.4257594E-4
7.05,6.920757E-5,7.1715086E-4,1.809068E-4
7.15,1.1935798E-4,6.479433E-4,1.3306798E-4
7.25,1.2537603E-4,5.2858534E-4,1.3306798E-4
7.35,2.2367084E-4,4.032093E-4,1.09428736E-4
7.45,3.911732E-5,1.7953847E-4,9.0522284E-5
7.55,1.5045123E-5,1.4042115E-4,9.0522284E-5
7.65,1.3039107E-5,1.2537603E-4,0.0
7.75,7.622862E-5,1.1233692E-4,0.0
7.85,3.410228E-5,3.6108297E-5,0.0
7.95,2.0060165E-6,2.0060165E-6,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
