Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0044533564,0.011960873,0.007302307
5.15,5.2858534E-4,0.0075075165,0.005773837
5.25,0.0014854552,0.0069789314,0.00455973
5.35,9.6589694E-4,0.005493476,0.0035953305
5.45,8.876623E-4,0.004527579,0.0028292807
5.55,6.9107267E-4,0.003639917,0.002220786
5.65,5.085252E-4,0.002948844,0.0017374412
5.75,3.6710102E-4,0.002440319,0.0013535068
5.85,2.3871596E-4,0.0020732179,0.0010485369
5.95,1.6750237E-4,0.001834502,8.0629066E-4
6.05,1.0130383E-4,0.0016669997,7.0931535E-4
6.15,7.221659E-5,0.0015656959,6.7495287E-4
6.25,4.8144393E-5,0.0014934792,6.504882E-4
6.35,4.7141388E-5,0.0014453349,6.2470144E-4
6.45,2.5075205E-5,0.0013981934,5.950116E-4
6.55,3.7111306E-5,0.0013731183,5.633104E-4
6.65,3.2096264E-5,0.0013360069,5.203517E-4
6.75,2.0060164E-5,0.0013039106,4.307411E-4
6.85,1.9057155E-5,0.0012838505,3.498655E-4
6.95,5.8174475E-5,0.0012647933,2.8174874E-4
7.05,1.6349035E-4,0.0012066189,2.1913668E-4
7.15,7.7231634E-5,0.0010431285,1.7129784E-4
7.25,9.929782E-5,9.6589694E-4,1.6477573E-4
7.35,2.2166481E-4,8.665991E-4,1.3498664E-4
7.45,2.8686036E-4,6.449343E-4,1.1608019E-4
7.55,1.4443319E-4,3.5807394E-4,1.0001791E-4
7.65,7.422261E-5,2.1364076E-4,0.0
7.75,8.2246675E-5,1.3941815E-4,0.0
7.85,4.9147402E-5,5.717147E-5,0.0
7.95,7.0210576E-6,8.024066E-6,0.0
8.05,1.0030083E-6,1.0030083E-6,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
