Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,7.693073E-4,0.002334,0.0124317445
5.15,4.9147402E-5,0.0015646928,0.009864163
5.25,3.049145E-4,0.0015155454,0.007824658
5.35,2.1163473E-4,0.0012106309,0.0062046237
5.45,1.9759261E-4,9.989962E-4,0.004917784
5.55,1.705114E-4,8.0140354E-4,0.0038956108
5.65,1.20360986E-4,6.308922E-4,0.00308367
5.75,8.124366E-5,5.105312E-4,0.0024387224
5.85,5.015041E-5,4.2928752E-4,0.0019264222
5.95,2.808423E-5,3.791371E-4,0.0015201803
6.05,3.309927E-5,3.5105288E-4,0.0012097765
6.15,1.705114E-5,3.179536E-4,9.695258E-4
6.25,5.015041E-6,3.0090247E-4,7.786879E-4
6.35,1.0030082E-5,2.958874E-4,6.270999E-4
6.45,1.0030082E-5,2.8585733E-4,5.066893E-4
6.55,8.024066E-6,2.7582725E-4,4.1104376E-4
6.65,1.6048132E-5,2.678032E-4,3.7971608E-4
6.75,1.4042115E-5,2.5175506E-4,3.548316E-4
6.85,1.8054148E-5,2.3771294E-4,3.4652863E-4
6.95,8.024066E-6,2.196588E-4,3.301431E-4
7.05,4.613838E-5,2.1163473E-4,3.1793414E-4
7.15,2.1063173E-5,1.6549636E-4,3.0235053E-4
7.25,2.0060164E-5,1.4443319E-4,2.8736488E-4
7.35,1.9057155E-5,1.2437302E-4,2.516089E-4
7.45,2.4072197E-5,1.0531586E-4,1.5626295E-4
7.55,2.6078214E-5,8.124366E-5,1.0001791E-4
7.65,3.0090247E-5,5.5165452E-5,0.0
7.75,1.6048132E-5,2.5075205E-5,0.0
7.85,9.027074E-6,9.027074E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
