Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.03672214,0.08359472,0.02258473
5.15,0.0019388149,0.04687258,0.018551815
5.25,0.013629879,0.044933766,0.015348356
5.35,0.0064353007,0.031303886,0.0128037585
5.45,0.0053911693,0.024868585,0.010782512
5.55,0.0039398163,0.019477416,0.009176979
5.65,0.0030010005,0.0155376,0.007901659
5.75,0.002179537,0.012536599,0.0068886364
5.85,0.0015656959,0.010357063,0.006083964
5.95,0.0010621857,0.008791367,0.00544479
6.05,7.933795E-4,0.0077291816,0.005139434
6.15,5.396184E-4,0.006935802,0.004716466
6.25,4.403206E-4,0.0063961833,0.004621984
6.35,3.1394156E-4,0.005955863,0.004497491
6.45,2.2567685E-4,0.0056419214,0.0043389057
6.55,1.8856555E-4,0.0054162443,0.0042453473
6.65,1.9057156E-4,0.005227679,0.004146362
6.75,2.1664977E-4,0.0050371075,0.004011138
6.85,4.0020028E-4,0.0048204577,0.0038924352
6.95,4.954861E-4,0.004420257,0.003298221
7.05,3.6308897E-4,0.003924771,0.0029705279
7.15,5.125372E-4,0.0035616823,0.0025114028
7.25,6.9006963E-4,0.003049145,0.002062867
7.35,0.0011985948,0.0023590752,0.0015458551
7.45,8.796382E-4,0.0011604805,0.0012590825
7.55,2.4072197E-4,2.808423E-4,9.576355E-4
7.65,3.5105288E-5,4.012033E-5,5.092267E-4
7.75,2.0060165E-6,5.015041E-6,2.576057E-5
7.85,3.0090246E-6,3.0090246E-6,2.3299248E-5
7.95,0.0,0.0,2.0363144E-5
8.05,0.0,0.0,1.6283075E-5
8.15,0.0,0.0,9.196594E-6
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
