Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0019327968,0.0041935774,0.03444882
5.15,1.0030082E-5,0.0022607804,0.027079009
5.25,5.9277785E-4,0.0022507505,0.021224959
5.35,3.4804386E-4,0.0016579726,0.016574923
5.45,2.828483E-4,0.0013099287,0.012881267
5.55,2.0561668E-4,0.0010270805,0.009947292
5.65,1.5245724E-4,8.214637E-4,0.0076167523
5.75,1.2136399E-4,6.690065E-4,0.005765539
5.85,7.923765E-5,5.4764247E-4,0.0042950683
5.95,5.115342E-5,4.6840485E-4,0.003127032
6.05,3.1093256E-5,4.1725143E-4,0.0022275439
6.15,1.103309E-5,3.8615815E-4,0.0015653144
6.25,6.018049E-6,3.7512506E-4,0.00110845
6.35,4.012033E-6,3.6910703E-4,9.4164803E-4
6.45,4.012033E-6,3.6509498E-4,3.9198116E-4
6.55,1.5045123E-5,3.6108296E-4,3.857886E-4
6.65,4.012033E-5,3.4603782E-4,2.5894924E-4
6.75,6.0180493E-5,3.059175E-4,2.5739477E-4
6.85,2.4072197E-5,2.45737E-4,1.4206601E-4
6.95,1.9057155E-5,2.2166481E-4,9.596724E-5
7.05,7.0210575E-5,2.0260765E-4,7.0247E-5
7.15,9.8294804E-5,1.3239708E-4,1.4540369E-5
7.25,2.808423E-5,3.410228E-5,8.933862E-6
7.35,4.012033E-6,6.018049E-6,7.979897E-6
7.45,2.0060165E-6,2.0060165E-6,6.5399013E-6
7.55,0.0,0.0,3.7804048E-6
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
