Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,7.1514485E-4,0.0010842519,0.012615435
5.15,0.0,3.6910703E-4,0.010079947
5.25,1.0431286E-4,3.6910703E-4,0.008065938
5.35,5.717147E-5,2.6479416E-4,0.006466154
5.45,5.015041E-5,2.076227E-4,0.0051954
5.55,3.911732E-5,1.5747228E-4,0.004186005
5.65,3.309927E-5,1.1835497E-4,0.0033842132
5.75,2.808423E-5,8.52557E-5,0.0027473276
5.85,2.306919E-5,5.717147E-5,0.0022414315
5.95,1.2036098E-5,3.410228E-5,0.0018395837
6.05,8.024066E-6,2.206618E-5,5.930532E-4
6.15,1.0030083E-6,1.4042115E-5,3.6947237E-4
6.25,0.0,1.3039107E-5,2.133114E-4
6.35,0.0,1.3039107E-5,1.5377768E-4
6.45,0.0,1.3039107E-5,1.15505005E-4
6.55,0.0,1.3039107E-5,1.120027E-4
6.65,1.0030083E-6,1.3039107E-5,1.0407805E-4
6.75,3.0090246E-6,1.2036098E-5,1.0319413E-4
6.85,0.0,9.027074E-6,5.286529E-5
6.95,0.0,9.027074E-6,5.071514E-5
7.05,2.0060165E-6,9.027074E-6,3.7367026E-5
7.15,5.015041E-6,7.0210576E-6,1.8602304E-5
7.25,0.0,2.0060165E-6,1.2860916E-5
7.35,0.0,2.0060165E-6,1.1653162E-5
7.45,2.0060165E-6,2.0060165E-6,8.882846E-6
7.55,0.0,0.0,3.7804048E-6
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
