Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0012647933,0.0034734174,0.02376616
5.15,1.3039107E-5,0.002208624,0.018810438
5.25,5.295883E-4,0.002195585,0.014873968
5.35,2.9789345E-4,0.0016659966,0.011747119
5.45,2.5275807E-4,0.0013681032,0.009263375
5.55,1.8355051E-4,0.0011153452,0.007290466
5.65,1.4343018E-4,9.3179464E-4,0.0057233297
5.75,1.093279E-4,7.8836444E-4,0.0044785086
5.85,7.7231634E-5,6.7903654E-4,0.0034897123
5.95,5.3159434E-5,6.0180493E-4,0.0027042832
6.05,2.7081222E-5,5.486455E-4,0.0020828273
6.15,3.1093256E-5,5.215643E-4,0.0017342081
6.25,2.6078214E-5,4.90471E-4,0.0014572901
6.35,1.8054148E-5,4.643928E-4,6.610335E-4
6.45,1.705114E-5,4.4633864E-4,6.1068224E-4
6.55,2.206618E-5,4.2928752E-4,4.849106E-4
6.65,2.5075205E-5,4.0722135E-4,3.5188196E-4
6.75,1.2036098E-5,3.8214613E-4,2.6477844E-4
6.85,1.8054148E-5,3.7011004E-4,2.0896501E-4
6.95,1.705114E-5,3.5205588E-4,1.04490195E-4
7.05,3.7111306E-5,3.3500473E-4,7.053496E-5
7.15,5.215643E-5,2.9789345E-4,4.1039115E-5
7.25,1.334001E-4,2.45737E-4,2.064693E-5
7.35,7.32196E-5,1.1233692E-4,1.8967039E-5
7.45,2.808423E-5,3.911732E-5,1.6586931E-5
7.55,1.103309E-5,1.103309E-5,1.0616475E-5
7.65,0.0,0.0,4.308269E-6
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
