Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,7.181539E-4,0.0027763268,0.009173521
5.15,1.7953847E-4,0.0020581728,0.007845915
5.25,3.550649E-4,0.0018786344,0.0067913597
5.35,2.8786337E-4,0.0015235695,0.005953697
5.45,1.7552644E-4,0.0012357061,0.005288318
5.55,1.0631887E-4,0.0010601797,0.004759788
5.65,8.2246675E-5,9.538608E-4,0.0043399623
5.75,5.616846E-5,8.7161415E-4,0.0040064827
5.85,1.8054148E-5,8.154457E-4,0.0037415903
5.95,1.705114E-5,7.973915E-4,0.0035311787
6.05,8.024066E-6,7.803404E-4,0.0033640445
6.15,3.0090246E-6,7.723163E-4,0.0032312851
6.25,0.0,7.693073E-4,0.003132152
6.35,0.0,7.693073E-4,0.0030534079
6.45,0.0,7.693073E-4,0.002996778
6.55,2.0060165E-6,7.693073E-4,0.002953378
6.65,0.0,7.673013E-4,0.0029239529
6.75,1.0030083E-6,7.673013E-4,0.0029137016
6.85,2.0060165E-6,7.6629827E-4,0.0021357706
6.95,1.4042115E-5,7.6429226E-4,0.0021357706
7.05,1.705114E-5,7.502501E-4,6.3639175E-4
7.15,1.0030082E-5,7.33199E-4,5.1854376E-4
7.25,8.024066E-6,7.2316895E-4,4.5317382E-4
7.35,1.705114E-5,7.1514485E-4,2.581718E-4
7.45,2.678032E-4,6.9809373E-4,1.4128092E-4
7.55,3.2397165E-4,4.3029053E-4,0.0
7.65,4.9147402E-5,1.0631887E-4,0.0
7.75,5.215643E-5,5.717147E-5,0.0
7.85,5.015041E-6,5.015041E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
