Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0023570694,0.0061745187,0.0040854206
5.15,2.1464376E-4,0.0038174493,0.003241233
5.25,6.5496436E-4,0.0036028055,0.0025706713
5.35,4.91474E-4,0.002947841,0.0020380253
5.45,4.4633864E-4,0.002456367,0.0016149293
5.55,3.269807E-4,0.0020100286,0.0012788523
5.65,2.43731E-4,0.0016830477,0.0010118969
5.75,1.8455352E-4,0.0014393168,7.998466E-4
5.85,1.3540611E-4,0.0012547633,6.3140906E-4
5.95,8.9267734E-5,0.0011193572,4.9761444E-4
6.05,8.024066E-5,0.0010300895,4.10068E-4
6.15,5.5165452E-5,9.498488E-4,3.5046192E-4
6.25,3.5105288E-5,8.9468335E-4,3.1506064E-4
6.35,3.5105288E-5,8.59578E-4,3.0381128E-4
6.45,3.6108297E-5,8.2447275E-4,2.948756E-4
6.55,3.911732E-5,7.8836444E-4,1.8239478E-4
6.65,4.012033E-5,7.4924715E-4,1.7928115E-4
6.75,4.012033E-5,7.091268E-4,1.515445E-4
6.85,5.5165452E-5,6.690065E-4,1.4528062E-4
6.95,4.8144393E-5,6.1384105E-4,1.2900274E-4
7.05,3.1093256E-5,5.656966E-4,1.1813713E-4
7.15,3.1093256E-5,5.346034E-4,1.05322644E-4
7.25,4.513537E-5,5.035101E-4,9.5705924E-5
7.35,8.124366E-5,4.5837477E-4,8.4963445E-5
7.45,9.227676E-5,3.771311E-4,7.298343E-5
7.55,7.0210575E-5,2.8485432E-4,5.797922E-5
7.65,1.4242716E-4,2.1464376E-4,3.848676E-5
7.75,6.720155E-5,7.221659E-5,1.7385875E-5
7.85,5.015041E-6,5.015041E-6,6.7202227E-6
7.95,0.0,0.0,2.8314473E-6
8.05,0.0,0.0,1.1069503E-6
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
