Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.20661268,0.46361348,0.1891023
5.15,0.007681037,0.2570008,0.15419355
5.25,0.081902646,0.24931976,0.12646455
5.35,0.040544603,0.16741712,0.1044386
5.45,0.031492453,0.12687251,0.086942784
5.55,0.025465375,0.09538006,0.07304536
5.65,0.018730175,0.06991469,0.062006243
5.75,0.013683038,0.051184513,0.05323756
5.85,0.009667996,0.037501473,0.04627235
5.95,0.006377126,0.027833479,0.040739685
6.05,0.0040070177,0.021456352,0.038907934
6.15,0.0024984935,0.017449334,0.02998397
6.25,0.0016940809,0.014950841,0.029952906
6.35,0.0012487452,0.013256759,0.022617724
6.45,6.7903654E-4,0.012008014,0.018481646
6.55,4.373116E-4,0.0113289775,0.016861951
6.65,4.0922736E-4,0.010891667,0.014622875
6.75,2.7482424E-4,0.010482439,0.008097925
6.85,1.7552644E-4,0.010207615,0.0073385956
6.95,2.3470393E-4,0.0100320885,0.006479279
7.05,3.7211605E-4,0.009797384,0.0060957307
7.15,0.0025406198,0.0094252685,0.0056634783
7.25,0.0023460363,0.0068846485,0.005418601
7.35,8.164487E-4,0.004538612,0.004733026
7.45,7.101298E-4,0.0037221636,0.0039422833
7.55,6.9207564E-4,0.0030120336,0.002733261
7.65,8.926773E-4,0.002319958,0.002537756
7.75,2.076227E-4,0.0014272807,0.0021479991
7.85,3.059175E-4,0.001219658,0.0014032788
7.95,8.776322E-4,9.137405E-4,5.903404E-4
8.05,3.6108297E-5,3.6108297E-5,2.8212144E-4
8.15,0.0,0.0,1.559055E-4
8.25,0.0,0.0,1.2199121E-4
8.35,0.0,0.0,5.720505E-5
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
