Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.010878627,0.027187541,0.021278447
5.15,3.1995962E-4,0.016308913,0.016797975
5.25,0.0035606793,0.015988953,0.013239009
5.35,0.001947842,0.012428275,0.0104120225
5.45,0.0021013021,0.010480433,0.008166467
5.55,0.001586759,0.008379131,0.0063827587
5.65,0.0012698084,0.0067923716,0.004965909
5.75,9.80942E-4,0.005522563,0.003840465
5.85,7.0411176E-4,0.004541621,0.0029464932
5.95,5.165492E-4,0.0038375095,0.0022363863
6.05,4.0922736E-4,0.0033209603,0.0016723282
6.15,3.309927E-4,0.0029117328,0.0012748848
6.25,2.2567685E-4,0.0025807403,9.760029E-4
6.35,2.3570693E-4,0.0023550633,7.823788E-4
6.45,1.7853547E-4,0.0021193563,7.018557E-4
6.55,1.8756253E-4,0.001940821,6.590099E-4
6.65,1.715144E-4,0.0017532584,5.264274E-4
6.75,1.4443319E-4,0.0015817439,5.1840575E-4
6.85,1.2337002E-4,0.0014373108,4.9937435E-4
6.95,1.3039107E-4,0.0013139407,3.789139E-4
7.05,4.1925744E-4,0.0011835496,3.414842E-4
7.15,1.8054148E-4,7.6429226E-4,3.325343E-4
7.25,1.5446327E-4,5.837508E-4,2.862905E-4
7.35,1.2938806E-4,4.2928752E-4,2.533078E-4
7.45,1.5245724E-4,2.9989946E-4,1.590409E-4
7.55,7.121358E-5,1.474422E-4,1.4216239E-4
7.65,3.911732E-5,7.622862E-5,1.17599106E-4
7.75,1.9057155E-5,3.7111306E-5,1.1478807E-4
7.85,1.3039107E-5,1.8054148E-5,1.077758E-4
7.95,4.012033E-6,5.015041E-6,8.767188E-5
8.05,1.0030083E-6,1.0030083E-6,3.17742E-5
8.15,0.0,0.0,1.0371628E-5
8.25,0.0,0.0,3.227094E-6
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
