Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,5.035101E-4,0.0016519545,0.009204918
5.15,1.5546627E-4,0.0011484444,0.007408489
5.25,1.8154448E-4,9.929781E-4,0.0059815347
5.35,1.2738204E-4,8.1143365E-4,0.0048480653
5.45,1.4142416E-4,6.840516E-4,0.003947718
5.55,1.1735196E-4,5.426275E-4,0.0032325468
5.65,8.324968E-5,4.2527547E-4,0.0026644662
5.75,5.717147E-5,3.420258E-4,0.0022132238
5.85,3.7111306E-5,2.8485432E-4,0.0018547891
5.95,2.306919E-5,2.4774304E-4,0.0015700744
6.05,1.2036098E-5,2.2467384E-4,0.0013439175
6.15,6.018049E-6,2.1263774E-4,0.0011642745
6.25,4.012033E-6,2.0661969E-4,0.001086951
6.35,5.015041E-6,2.0260765E-4,0.0010256796
6.45,1.6048132E-5,1.9759261E-4,3.1898255E-4
6.55,3.1093256E-5,1.8154448E-4,3.122807E-4
6.65,1.8054148E-5,1.5045123E-4,2.905824E-4
6.75,2.0060165E-6,1.3239708E-4,9.333692E-5
6.85,6.018049E-6,1.3039107E-4,0.0
6.95,1.3039107E-5,1.2437302E-4,0.0
7.05,2.206618E-5,1.1133391E-4,0.0
7.15,7.221659E-5,8.9267734E-5,0.0
7.25,1.6048132E-5,1.705114E-5,0.0
7.35,1.0030083E-6,1.0030083E-6,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
