Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.016571702,0.041416217,0.029128872
5.15,0.002195585,0.024844514,0.023441806
5.25,0.0058224625,0.022648929,0.018924408
5.35,0.003534601,0.016826466,0.015336112
5.45,0.0032667979,0.013291865,0.012485827
5.55,0.0023781324,0.010025067,0.010221764
5.65,0.0018104299,0.0076469346,0.008423356
5.75,0.0011755256,0.005836505,0.00699483
5.85,8.4854494E-4,0.0046609794,0.0058601107
5.95,6.11835E-4,0.0038124342,0.0049587716
6.05,4.0922736E-4,0.0032005992,0.0043265047
6.15,2.938814E-4,0.002791372,0.0038416656
6.25,2.7081222E-4,0.0024974905,0.00362134
6.35,1.9759261E-4,0.0022266782,0.0023330452
6.45,1.7251741E-4,0.0020290855,0.0022533427
6.55,1.8154448E-4,0.0018565683,0.0017109275
6.65,1.8355051E-4,0.0016750237,0.0016052997
6.75,6.619854E-5,0.0014914732,0.0011451037
6.85,8.024066E-5,0.0014252746,0.0010586503
6.95,8.6258704E-5,0.001345034,9.581568E-4
7.05,1.15345945E-4,0.0012587754,8.522814E-4
7.15,1.8956856E-4,0.0011434293,8.05008E-4
7.25,2.1664977E-4,9.538608E-4,7.6117355E-4
7.35,2.3971897E-4,7.37211E-4,2.6826837E-4
7.45,2.3069189E-4,4.974921E-4,2.5797256E-6
7.55,2.0561668E-4,2.668002E-4,1.9790996E-6
7.65,2.6078214E-5,6.11835E-5,1.3525804E-6
7.75,2.306919E-5,3.5105288E-5,9.0699723E-7
7.85,6.018049E-6,1.2036098E-5,1.8033363E-7
7.95,6.018049E-6,6.018049E-6,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
