Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,9.398187E-4,0.0023440302,0.012512951
5.15,3.309927E-5,0.0014042115,0.009846254
5.25,3.0692053E-4,0.0013711122,0.007728022
5.35,2.0060164E-4,0.0010641917,0.00604545
5.45,1.7251741E-4,8.635901E-4,0.004708936
5.55,1.1434294E-4,6.9107267E-4,0.0036473046
5.65,1.1333993E-4,5.767297E-4,0.0028040211
5.75,5.4162443E-5,4.633898E-4,0.0021341774
5.85,4.2126347E-5,4.0922736E-4,0.0016021014
5.95,2.0060164E-5,3.6710102E-4,0.0011794585
6.05,2.1063173E-5,3.4704086E-4,8.693447E-4
6.15,1.5045123E-5,3.2597766E-4,7.3164277E-4
6.25,5.015041E-6,3.1093255E-4,6.5304834E-4
6.35,1.705114E-5,3.059175E-4,3.2353308E-4
6.45,1.4042115E-5,2.8886637E-4,3.230096E-4
6.55,1.3039107E-5,2.7482424E-4,2.4784185E-4
6.65,1.9057155E-5,2.6178514E-4,2.0350676E-4
6.75,3.2096264E-5,2.4272798E-4,1.7288687E-4
6.85,3.2096264E-5,2.1063173E-4,1.5054115E-4
6.95,3.1093256E-5,1.7853547E-4,1.3362602E-4
7.05,3.1093256E-5,1.474422E-4,1.1242266E-4
7.15,3.1093256E-5,1.1634895E-4,9.578157E-5
7.25,4.413236E-5,8.52557E-5,8.1087754E-5
7.35,2.206618E-5,4.1123338E-5,6.46881E-5
7.45,4.012033E-6,1.9057155E-5,3.9477436E-5
7.55,5.015041E-6,1.5045123E-5,7.901982E-6
7.65,9.027074E-6,1.0030082E-5,1.3823751E-6
7.75,1.0030083E-6,1.0030083E-6,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
