Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.008939812,0.025657954,0.008077481
5.15,2.2266782E-4,0.016718142,0.0065054195
5.25,0.0029689043,0.016495474,0.005256687
5.35,0.0014714131,0.013526569,0.004264783
5.45,0.0013931784,0.012055156,0.0034768863
5.55,0.0010722157,0.010661977,0.0028510373
5.65,8.4754196E-4,0.0095897615,0.002353908
5.75,6.3991925E-4,0.00874222,0.001959024
5.85,4.2026045E-4,0.008102301,0.0016453565
5.95,3.3701077E-4,0.00768204,0.0013962017
6.05,2.8786337E-4,0.007345029,0.0011987878
6.15,1.8054148E-4,0.0070571657,0.0010433755
6.25,8.726172E-5,0.006876624,9.280851E-4
6.35,9.327976E-5,0.0067893625,8.5848756E-4
6.45,8.324968E-5,0.0066960827,8.288144E-4
6.55,9.8294804E-5,0.006612833,8.1611087E-4
6.65,1.5747228E-4,0.0065145385,4.5880175E-4
6.75,2.1765278E-4,0.006357066,4.5877E-4
6.85,7.221659E-5,0.0061394135,3.9943005E-4
6.95,7.0210575E-5,0.006067197,3.916214E-4
7.05,7.622862E-5,0.0059969863,3.4702086E-4
7.15,1.0732188E-4,0.0059207575,3.4662735E-4
7.25,1.8455352E-4,0.0058134357,3.442337E-4
7.35,1.9658961E-4,0.005628882,3.430819E-4
7.45,2.326979E-4,0.0054322924,3.4191232E-4
7.55,2.2166481E-4,0.0051995944,3.3864848E-4
7.65,2.778333E-4,0.00497793,3.374851E-4
7.75,0.0016288854,0.0047000963,3.1069727E-4
7.85,0.0015887651,0.0030712113,2.8333737E-4
7.95,0.0014012025,0.0014824461,1.7080526E-4
8.05,8.124366E-5,8.124366E-5,4.845756E-5
8.15,0.0,0.0,9.7040365E-6
8.25,0.0,0.0,4.3553504E-7
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
