Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,9.267796E-4,0.0026579718,0.019575054
5.15,7.823464E-5,0.0017311922,0.015479283
5.25,3.891672E-4,0.0016529575,0.012225898
5.35,1.955866E-4,0.0012637903,0.009641642
5.45,2.4774304E-4,0.0010682037,0.0075888936
5.55,2.0361067E-4,8.2046073E-4,0.0059583383
5.65,1.3640911E-4,6.1685004E-4,0.004663142
5.75,9.227676E-5,4.8044094E-4,0.003634331
5.85,6.318952E-5,3.881642E-4,0.0028171174
5.95,5.015041E-5,3.2497465E-4,0.0021679816
6.05,3.2096264E-5,2.7482424E-4,0.0016523547
6.15,1.6048132E-5,2.4272798E-4,0.001244753
6.25,2.206618E-5,2.2667985E-4,9.209834E-4
6.35,1.103309E-5,2.0461368E-4,7.975774E-4
6.45,3.0090246E-6,1.9358059E-4,7.1612746E-4
6.55,3.0090246E-6,1.9057156E-4,4.539066E-4
6.65,6.018049E-6,1.8756253E-4,3.5102584E-4
6.75,6.018049E-6,1.8154448E-4,3.5102584E-4
6.85,1.103309E-5,1.7552644E-4,2.809776E-4
6.95,1.0030082E-5,1.6449335E-4,2.498025E-4
7.05,1.5045123E-5,1.5446327E-4,1.8630357E-4
7.15,1.0030082E-5,1.3941815E-4,1.5148721E-4
7.25,1.08324886E-4,1.2938806E-4,7.3636984E-5
7.35,2.1063173E-5,2.1063173E-5,1.20328095E-5
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
