Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0047121327,0.020399181,0.01586009
5.15,7.121358E-5,0.015687048,0.013824349
5.25,0.0025004996,0.015615835,0.012207303
5.35,0.0013079228,0.013115335,0.010922837
5.45,0.0013149438,0.011807413,0.00990255
5.55,0.0010832489,0.010492469,0.0090921065
5.65,8.324968E-4,0.00940922,0.008448349
5.75,6.2286813E-4,0.008576724,0.007936995
5.85,4.4633864E-4,0.007953855,0.0075308103
5.95,2.8485432E-4,0.0075075165,0.007215107
6.05,1.6248733E-4,0.007222662,0.0069680093
6.15,1.0732188E-4,0.007060175,0.00687994
6.25,7.121358E-5,0.006952853,0.006757088
6.35,5.015041E-5,0.0068816394,0.0067111626
6.45,3.309927E-5,0.006831489,0.006544003
6.55,1.705114E-5,0.00679839,0.0064678104
6.65,4.012033E-6,0.0067813387,0.0062143463
6.75,7.0210576E-6,0.0067773266,0.006150468
6.85,8.024066E-6,0.0067703053,0.006121412
6.95,1.8054148E-5,0.0067622815,0.0060824417
7.05,2.6078214E-5,0.0067442274,0.0059815063
7.15,2.808423E-5,0.006718149,0.0054990575
7.25,1.7853547E-4,0.006690065,0.005427606
7.35,3.3400173E-4,0.0065115294,0.00532666
7.45,3.279837E-4,0.006177528,0.0052263867
7.55,4.9648905E-4,0.005849544,0.0046992
7.65,0.0011634895,0.005353055,0.0045636864
7.75,0.0017352042,0.0041895653,0.0037461098
7.85,9.5085177E-4,0.0024543612,0.003430843
7.95,0.0014202596,0.0015035094,0.002843783
8.05,8.324968E-5,8.324968E-5,0.0021931776
8.15,0.0,0.0,0.001446303
8.25,0.0,0.0,7.937497E-4
8.35,0.0,0.0,2.3926099E-4
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
