Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.00232397,0.006002001,0.011581415
5.15,1.093279E-4,0.003678031,0.009069249
5.25,7.803404E-4,0.0035687033,0.0070737647
5.35,5.295883E-4,0.0027883628,0.0054886946
5.45,5.0752214E-4,0.0022587746,0.0042296294
5.55,4.2226646E-4,0.0017512523,0.0032295177
5.65,2.688062E-4,0.0013289859,0.002435101
5.75,1.7652944E-4,0.0010601797,0.0018040735
5.85,1.2637903E-4,8.8365027E-4,0.0013028304
5.95,9.72918E-5,7.572712E-4,9.046789E-4
6.05,5.115342E-5,6.599794E-4,5.884159E-4
6.15,2.306919E-5,6.08826E-4,3.4053592E-4
6.25,1.2036098E-5,5.857568E-4,1.5591504E-4
6.35,3.0090246E-6,5.737207E-4,6.7109446E-5
6.45,0.0,5.707117E-4,2.3025932E-5
6.55,1.0030083E-6,5.707117E-4,9.308339E-6
6.65,4.012033E-6,5.6970865E-4,9.308339E-6
6.75,1.3941815E-4,5.656966E-4,9.205277E-6
6.85,1.3239708E-4,4.2627848E-4,9.130813E-6
6.95,9.8294804E-5,2.938814E-4,9.064049E-6
7.05,8.826472E-5,1.955866E-4,8.992958E-6
7.15,2.306919E-5,1.0732188E-4,8.798247E-6
7.25,1.8054148E-5,8.425269E-5,8.091766E-6
7.35,1.9057155E-5,6.619854E-5,7.3332494E-6
7.45,2.306919E-5,4.7141388E-5,6.569474E-6
7.55,1.9057155E-5,2.4072197E-5,5.620448E-6
7.65,4.012033E-6,5.015041E-6,4.7290123E-6
7.75,0.0,1.0030083E-6,3.5961123E-6
7.85,0.0,1.0030083E-6,2.2726167E-6
7.95,0.0,1.0030083E-6,6.483458E-7
8.05,1.0030083E-6,1.0030083E-6,3.616481E-7
8.15,0.0,0.0,2.3228783E-7
8.25,0.0,0.0,1.1312758E-7
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
