Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.027816428,0.062007975,0.03701521
5.15,3.8114312E-4,0.03419155,0.029484944
5.25,0.010247735,0.033810403,0.023503441
5.35,0.0052036066,0.02356267,0.018752165
5.45,0.0043019024,0.018359063,0.014978092
5.55,0.0032286835,0.01405716,0.01198024
5.65,0.0022126362,0.010828476,0.009598961
5.75,0.0014433288,0.00861584,0.0077074436
5.85,9.3580666E-4,0.007172512,0.006204958
5.95,6.308922E-4,0.006236705,0.0050114915
6.05,4.87462E-4,0.005605813,0.004087904
6.15,3.3801378E-4,0.005118351,0.0033543366
6.25,2.6379115E-4,0.004780337,0.002771651
6.35,2.3470393E-4,0.004516546,0.0025896542
6.45,2.4674003E-4,0.004281842,0.0024451928
6.55,1.3841514E-4,0.004035102,0.002056494
6.65,1.1935798E-4,0.003896687,0.002056494
6.75,1.4443319E-4,0.0037773289,0.001979164
6.85,2.5777312E-4,0.0036328959,0.0019221848
6.95,1.9157457E-4,0.0033751226,0.0018877026
7.05,2.1063173E-4,0.003183548,0.0016345358
7.15,2.8485432E-4,0.0029729165,0.0014481795
7.25,2.2066181E-4,0.002688062,0.0012581326
7.35,7.32196E-5,0.0024674002,0.0010091453
7.45,1.5546627E-4,0.0023941805,9.12753E-4
7.55,3.9418222E-4,0.0022387144,8.0193783E-4
7.65,0.0014353048,0.0018445321,6.9531717E-4
7.75,4.0822435E-4,4.0922736E-4,6.5027346E-4
7.85,1.0030083E-6,1.0030083E-6,6.1607413E-4
7.95,0.0,0.0,5.5351475E-4
8.05,0.0,0.0,4.994637E-4
8.15,0.0,0.0,3.5727475E-4
8.25,0.0,0.0,2.6739293E-4
8.35,0.0,0.0,1.7032823E-4
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
