Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.011538606,0.036399167,0.01436112
5.15,3.0692053E-4,0.02486056,0.011328154
5.25,0.0055426233,0.024553642,0.008918984
5.35,0.002294883,0.019011017,0.0070053125
5.45,0.0026248726,0.016716136,0.005485229
5.55,0.002078233,0.014091263,0.004277784
5.65,0.0017673005,0.012013029,0.0033186758
5.75,0.0012688054,0.010245729,0.0025568295
5.85,9.6589694E-4,0.008976923,0.0019516733
5.95,7.061178E-4,0.008011026,0.0014709807
6.05,5.0952815E-4,0.0073049087,0.001089153
6.15,4.1925744E-4,0.0067953807,8.23109E-4
6.25,3.1494457E-4,0.006376123,6.245442E-4
6.35,3.059175E-4,0.0060611786,5.621598E-4
6.45,2.6178514E-4,0.005755261,5.191452E-4
6.55,2.4774304E-4,0.005493476,5.178994E-4
6.65,2.778333E-4,0.005245733,5.173958E-4
6.75,2.7382124E-4,0.0049678995,5.1682704E-4
6.85,4.3430255E-4,0.0046940786,5.1651325E-4
6.95,7.071208E-4,0.004259776,5.1619933E-4
7.05,2.9889646E-4,0.0035526552,5.158904E-4
7.15,6.218651E-5,0.0032537587,5.155368E-4
7.25,3.911732E-5,0.0031915721,5.1514397E-4
7.35,8.124366E-5,0.0031524547,5.1467656E-4
7.45,6.0180493E-5,0.0030712113,5.1413605E-4
7.55,2.1263774E-4,0.0030110306,5.1334174E-4
7.65,0.0013139407,0.002798393,5.117482E-4
7.75,8.59578E-4,0.0014844522,5.0594157E-4
7.85,2.6479416E-4,6.2487414E-4,4.8276916E-4
7.95,3.3701077E-4,3.6007995E-4,3.825131E-4
8.05,2.306919E-5,2.306919E-5,2.8293362E-4
8.15,0.0,0.0,1.7675551E-4
8.25,0.0,0.0,8.334442E-5
8.35,0.0,0.0,2.900736E-5
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
