Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.017722152,0.0637181,0.018293375
5.15,0.008611829,0.04599595,0.014708792
5.25,0.006923766,0.037384123,0.011861456
5.35,0.0056399154,0.030460356,0.009599737
5.45,0.0050190534,0.024820441,0.007803189
5.55,0.004168502,0.019801388,0.0063761408
5.65,0.0032547617,0.015632886,0.0052425954
5.75,0.0025947823,0.0123781245,0.004342189
5.85,0.0019709112,0.0097833425,0.0036269706
5.95,0.0015045123,0.007812431,0.0030588524
6.05,0.00121364,0.0063079186,0.0026077854
6.15,9.3179464E-4,0.0050942786,0.0022815494
6.25,7.8836444E-4,0.0041624843,0.0020684206
6.35,8.324968E-4,0.0033741198,0.0014268402
6.45,9.217645E-4,0.0025416228,0.00134183
6.55,6.9809373E-4,0.0016198583,0.0013113711
6.65,3.279837E-4,9.217645E-4,0.0012893772
6.75,6.820456E-5,5.937809E-4,0.00127213
6.85,8.826472E-5,5.255763E-4,8.253579E-4
6.95,1.6649936E-4,4.373116E-4,8.2134095E-4
7.05,6.5195534E-5,2.7081222E-4,6.569612E-4
7.15,6.820456E-5,2.0561668E-4,6.531403E-4
7.25,3.7111306E-5,1.3741212E-4,6.328516E-4
7.35,2.808423E-5,1.0030082E-4,6.1715476E-4
7.45,2.6078214E-5,7.221659E-5,5.539793E-4
7.55,2.808423E-5,4.613838E-5,3.291176E-4
7.65,9.027074E-6,1.8054148E-5,9.102562E-5
7.75,5.015041E-6,9.027074E-6,1.4207734E-5
7.85,4.012033E-6,4.012033E-6,2.5100871E-6
7.95,0.0,0.0,9.7594445E-8
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
