Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,1.3039107E-4,3.901702E-4,0.0013203998
5.15,0.0,2.5977913E-4,0.0010216635
5.25,4.2126347E-5,2.5977913E-4,7.8436895E-4
5.35,5.8174475E-5,2.1765278E-4,5.9587916E-4
5.45,3.0090247E-5,1.5947831E-4,4.461564E-4
5.55,2.1063173E-5,1.2938806E-4,3.2722738E-4
5.65,1.6048132E-5,1.08324886E-4,2.3275868E-4
5.75,1.9057155E-5,9.227676E-5,1.5771954E-4
5.85,1.4042115E-5,7.32196E-5,9.811383E-5
5.95,8.024066E-6,5.9177484E-5,5.0767332E-5
6.05,4.012033E-6,5.115342E-5,2.838763E-5
6.15,6.018049E-6,4.7141388E-5,1.6363065E-5
6.25,4.012033E-6,4.1123338E-5,8.072806E-6
6.35,1.0030083E-6,3.7111306E-5,8.0412065E-6
6.45,2.0060165E-6,3.6108297E-5,3.9115753E-6
6.55,7.0210576E-6,3.410228E-5,3.6152185E-6
6.65,4.012033E-6,2.7081222E-5,3.0362055E-6
6.75,1.4042115E-5,2.306919E-5,1.9852394E-6
6.85,8.024066E-6,9.027074E-6,1.4985787E-6
6.95,1.0030083E-6,1.0030083E-6,1.3137847E-6
7.05,0.0,0.0,9.294603E-7
7.15,0.0,0.0,6.594316E-7
7.25,0.0,0.0,4.0270106E-7
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
