Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.007954858,0.020851538,0.01713279
5.15,1.2938806E-4,0.012896679,0.013544331
5.25,0.0032507495,0.012767292,0.010693915
5.35,0.001831493,0.009516542,0.00842975
5.45,0.0016168492,0.007685049,0.0066312593
5.55,0.0014222657,0.0060682,0.0052026673
5.65,0.0011785347,0.004645934,0.0040678964
5.75,8.5857505E-4,0.0034673994,0.003166516
5.85,6.720155E-4,0.0026088243,0.002450524
5.95,5.015041E-4,0.0019368089,0.0018817913
6.05,3.2296864E-4,0.0014353048,0.0014300309
6.15,1.8154448E-4,0.0011123361,0.0010872942
6.25,1.4443319E-4,9.307916E-4,8.397767E-4
6.35,9.027074E-5,7.8635843E-4,7.2578946E-4
6.45,9.1273745E-5,6.960877E-4,6.370129E-4
6.55,9.929782E-5,6.04814E-4,6.0372835E-4
6.65,8.124366E-5,5.0551613E-4,5.826786E-4
6.75,4.513537E-5,4.2427247E-4,5.657023E-4
6.85,6.920757E-5,3.791371E-4,5.3219585E-4
6.95,1.3239708E-4,3.0992954E-4,5.244073E-4
7.05,3.811431E-5,1.7753245E-4,5.224067E-4
7.15,3.309927E-5,1.3941815E-4,5.175369E-4
7.25,1.9057155E-5,1.0631887E-4,4.886391E-4
7.35,3.309927E-5,8.726172E-5,4.731842E-4
7.45,2.6078214E-5,5.4162443E-5,4.5311448E-4
7.55,2.6078214E-5,2.808423E-5,3.6769608E-4
7.65,2.0060165E-6,2.0060165E-6,2.151746E-4
7.75,0.0,0.0,1.2591481E-4
7.85,0.0,0.0,6.977828E-5
7.95,0.0,0.0,2.76855E-5
8.05,0.0,0.0,3.5980095E-6
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
