Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0018816434,0.0058164448,0.01360708
5.15,2.808423E-5,0.003934801,0.010769736
5.25,7.061178E-4,0.003906717,0.008515953
5.35,2.8585733E-4,0.0032005992,0.0067257094
5.45,3.440318E-4,0.0029147419,0.005303669
5.55,2.4272798E-4,0.0025707101,0.0041741016
5.65,1.6248733E-4,0.002327982,0.0032768543
5.75,1.4443319E-4,0.0021654947,0.0025641455
5.85,1.1835497E-4,0.0020210615,0.0019980208
5.95,9.929782E-5,0.0019027066,0.001548332
6.05,7.522562E-5,0.0018034087,0.0011911315
6.15,6.619854E-5,0.0017281831,9.878711E-4
6.25,5.717147E-5,0.0016619846,6.8052154E-4
6.35,3.811431E-5,0.0016048132,5.98179E-4
6.45,2.206618E-5,0.0015666989,4.7475443E-4
6.55,2.9087238E-5,0.0015446326,4.4794683E-4
6.65,8.425269E-5,0.0015155454,4.1523334E-4
6.75,1.7753245E-4,0.0014312927,3.935158E-4
6.85,2.1163473E-4,0.0012537603,3.3335466E-4
6.95,1.9057156E-4,0.0010421255,3.0048468E-4
7.05,2.0561668E-4,8.51554E-4,2.1794238E-4
7.15,1.6750237E-4,6.459373E-4,1.9201502E-4
7.25,1.8455352E-4,4.7843493E-4,1.703067E-4
7.35,1.715144E-4,2.938814E-4,1.2550828E-4
7.45,1.08324886E-4,1.22367E-4,1.0225383E-4
7.55,1.103309E-5,1.4042115E-5,7.534466E-5
7.65,3.0090246E-6,3.0090246E-6,4.4021872E-5
7.75,0.0,0.0,3.415104E-5
7.85,0.0,0.0,1.3641344E-5
7.95,0.0,0.0,8.753221E-6
8.05,0.0,0.0,1.0427792E-6
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
