Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.002433298,0.005601801,0.002332038
5.15,9.8294804E-5,0.003168503,0.002093699
5.25,9.027074E-4,0.0030702082,0.0019043798
5.35,3.5105288E-4,0.0021675008,0.0017539981
5.45,3.781341E-4,0.0018164479,0.0016345457
5.55,2.7281823E-4,0.0014383137,0.0015396613
5.65,2.1263774E-4,0.0011654956,0.0014642919
5.75,1.7953847E-4,9.528578E-4,0.0014044238
5.85,1.0631887E-4,7.7331933E-4,0.001356869
5.95,8.2246675E-5,6.670005E-4,0.0013190949
6.05,6.5195534E-5,5.847538E-4,0.0012893793
6.15,3.911732E-5,5.1955826E-4,0.0012798458
6.25,3.911732E-5,4.8044094E-4,0.0012723949
6.35,3.811431E-5,4.4132362E-4,5.142663E-4
6.45,3.5105288E-5,4.032093E-4,5.142663E-4
6.55,3.6108297E-5,3.6810403E-4,3.277197E-4
6.65,2.206618E-5,3.3199572E-4,2.280595E-4
6.75,2.206618E-5,3.0992954E-4,1.7678758E-4
6.85,1.8054148E-5,2.8786337E-4,1.3796051E-4
6.95,3.309927E-5,2.698092E-4,5.3285396E-5
7.05,5.4162443E-5,2.3670994E-4,0.0
7.15,6.419253E-5,1.8254749E-4,0.0
7.25,3.811431E-5,1.1835497E-4,0.0
7.35,6.5195534E-5,8.024066E-5,0.0
7.45,1.5045123E-5,1.5045123E-5,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
