Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0017281831,0.004275824,0.0023714236
5.15,9.72918E-5,0.0025476408,0.0021214355
5.25,7.5125316E-4,0.002450349,0.001922863
5.35,3.179536E-4,0.0016990959,0.0017651311
5.45,3.0892654E-4,0.0013811423,0.0016398403
5.55,2.4774304E-4,0.0010722157,0.0015403184
5.65,1.7552644E-4,8.2447275E-4,0.0014612651
5.75,1.2637903E-4,6.489463E-4,0.0013984711
5.85,9.6288786E-5,5.225673E-4,0.0013485919
5.95,6.820456E-5,4.2627848E-4,0.0013089714
6.05,4.513537E-5,3.5807394E-4,0.0012777065
6.15,2.7081222E-5,3.1293856E-4,0.0012677069
6.25,1.9057155E-5,2.8585733E-4,5.5336306E-4
6.35,2.0060164E-5,2.668002E-4,5.5336306E-4
6.45,1.8054148E-5,2.4674003E-4,3.475172E-4
6.55,1.8054148E-5,2.2868588E-4,3.475172E-4
6.65,1.4042115E-5,2.1063173E-4,2.4379049E-4
6.75,1.3039107E-5,1.9658961E-4,1.8052579E-4
6.85,1.0030082E-5,1.8355051E-4,1.3575975E-4
6.95,2.306919E-5,1.7352043E-4,4.9369508E-5
7.05,3.811431E-5,1.5045123E-4,0.0
7.15,4.1123338E-5,1.1233692E-4,0.0
7.25,2.6078214E-5,7.121358E-5,0.0
7.35,3.6108297E-5,4.513537E-5,0.0
7.45,9.027074E-6,9.027074E-6,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
