Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,2.306919E-5,1.4142416E-4,0.011215357
5.15,4.012033E-6,1.1835497E-4,0.00874593
5.25,7.0210576E-6,1.1434294E-4,0.0067843944
5.35,8.024066E-6,1.0732188E-4,0.0052262913
5.45,9.027074E-6,9.929782E-5,0.003988646
5.55,2.0060165E-6,9.027074E-5,0.0030055495
5.65,1.0030083E-6,8.826472E-5,0.0022246481
5.75,1.0030083E-6,8.726172E-5,0.0016043562
5.85,0.0,8.6258704E-5,0.0011116407
5.95,0.0,8.6258704E-5,7.2026293E-4
6.05,0.0,8.6258704E-5,4.1831998E-4
6.15,0.0,8.6258704E-5,1.7847818E-4
6.25,0.0,8.6258704E-5,7.937429E-5
6.35,0.0,8.6258704E-5,1.8841652E-5
6.45,0.0,8.6258704E-5,8.232546E-6
6.55,0.0,8.6258704E-5,7.568687E-6
6.65,0.0,8.6258704E-5,6.757164E-6
6.75,0.0,8.6258704E-5,6.3572606E-6
6.85,0.0,8.6258704E-5,6.02666E-6
6.95,8.024066E-6,8.6258704E-5,5.773265E-6
7.05,2.0060164E-5,7.823464E-5,4.5377083E-6
7.15,8.024066E-6,5.8174475E-5,3.5766418E-6
7.25,1.0030083E-6,5.015041E-5,1.9554539E-6
7.35,1.5045123E-5,4.9147402E-5,9.993529E-7
7.45,1.103309E-5,3.410228E-5,1.7882314E-7
7.55,8.024066E-6,2.306919E-5,0.0
7.65,1.5045123E-5,1.5045123E-5,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
