Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.05,31.36222472333961,4.498582774908131,20.68383450162657,23.887767490209423,26.98793584714566,30.937958567833068,35.14471554297547,40.73782333306638,64.29417241839396
6.15,41.987357551392975,5.853096452475927,23.84842870415423,31.184367411414517,36.38608684243851,41.71713771494818,47.28762231060106,54.86649741558376,66.0953105362215
6.25,54.82567263325937,7.686445481917446,35.53896328368139,41.62951768179209,47.77849969203631,54.45703176222928,61.77201044577038,70.37383922556135,108.65964740985343
6.35,73.68333145119092,9.37775219254057,49.42682538848258,55.9927269220472,64.97693743667391,73.13316936302991,82.77680250520993,92.65320915434208,118.8845491313515
6.45,97.97204267636961,14.54981900992235,68.81092438794809,75.0168993680467,83.98609748253597,96.85297559375826,110.40196523387714,132.36825537056316,175.36042317636281
6.55,125.20536630178434,16.174018115263117,89.48321882399267,97.84423330415618,109.07011128734273,124.51335766657785,141.5607759898862,156.75971113198648,209.29893070196582
6.65,163.9250439274425,18.6457696892723,117.79233884318954,131.46465306124162,145.68736714965289,163.20324375053355,179.90109123064656,206.31517417311682,246.18700612436265
6.75,207.81657092655212,22.762110978724237,163.38041516093296,172.01656843832916,185.75599947223296,205.51310998652804,230.58893395856958,259.3477874735899,312.1826036024383
6.85,272.55128028411406,32.38852829350462,203.99283721636206,219.34253682435082,241.53025316884083,271.83091688203734,300.26185615492096,349.92352064667716,482.53741490415524
6.95,354.031491777786,40.04792633927324,269.2873607491807,280.82764091271406,311.73230623314896,352.20872102189315,392.25818283995307,435.4061196928727,525.8681267034069
7.05,434.8609781163464,59.07225610570275,318.9578492453934,326.63953090955744,381.46607357829083,428.9860027374507,494.7411459156448,564.6404778597621,645.0245714021482
7.15,543.1140968837263,83.21314231803458,369.26759320032755,381.46607357829083,445.63594734719544,541.2433017476542,629.4101349646763,708.6003784915362,790.4118107437434
7.25,696.6177407448416,92.68906269274336,508.5314124566635,527.9881084360841,578.7864452245248,691.861716698072,786.6255602046555,899.371496330408,1073.8281038348598
7.35,961.6118363688455,135.75740267566036,579.5917816556595,697.798241054423,804.6091304274647,977.4611322653351,1105.08170366936,1168.376715598442,1284.4051124173075
7.45,1176.8554099656203,113.44293133828948,919.90956409203,981.3651108527913,1100.7069397651446,1159.1721100029415,1307.889859406747,1411.8893345001638,1609.4673866076664
7.55,1534.2693313862837,221.21697043045586,1200.5425803066166,1224.6307459987331,1324.9378552417918,1502.6207600960938,1797.9885735750152,1983.4744871074406,2082.2529155599073
7.65,2043.8445464692159,132.6105804531311,1605.5472505904006,1709.1512516165385,1918.2546232410043,2014.3709251187852,2175.5276251342007,2182.885164501487,2187.5772230430903
7.75,1999.5030531122954,0.0,1999.5030531122954,1999.5030531122954,1999.5030531122954,1999.5030531122954,1999.5030531122954,1999.5030531122954,1999.5030531122954
7.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
