Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.98196334,0.78957903,0.9840559,0.8000208,0.72878754
20.00,0.9257386,0.623435,0.9331198,0.6400333,0.53113127
30.00,0.85045516,0.49225122,0.8636916,0.51203996,0.3870819
40.00,0.76180255,0.38867122,0.78203255,0.4096426,0.28210047
50.00,0.6678388,0.30688664,0.69453394,0.3277226,0.2055913
60.00,0.5688494,0.24231125,0.60036,0.26218492,0.14983238
70.00,0.47068918,0.19132388,0.5046556,0.2097534,0.10919597
80.00,0.37516758,0.15106532,0.41356593,0.16780707,0.079580665
90.00,0.28476518,0.119278006,0.32176176,0.13424915,0.057997398
100.00,0.20830944,0.09417941,0.2415055,0.107402116,0.04226778
110.00,0.14731975,0.074362084,0.17783703,0.085923925,0.030804234
120.00,0.109785914,0.058714744,0.13395022,0.068740934,0.022449743
130.00,0.06972647,0.046359926,0.088379584,0.054994173,0.016361093
140.00,0.039530136,0.036604825,0.052229628,0.043996483,0.011923761
150.00,0.023505695,0.028902402,0.0325197,0.035198104,0.008689889
160.00,0.013766956,0.02282073,0.019675942,0.028159214,0.0063330824
170.00,0.0,0.01801877,0.0035938,0.022527957,0.0046154717
180.00,0.0,0.014227242,7.703542E-4,0.018022835,0.0033636983
190.00,0.0,0.011233532,5.271033E-4,0.014418643,0.0024514215
200.00,0.0,0.008869762,3.3435778E-4,0.011535214,0.0017865654
210.00,0.0,0.007003377,2.4392133E-4,0.009228412,0.0013020267
220.00,0.0,0.00552972,1.3646262E-4,0.0073829214,9.489008E-4
230.00,0.0,0.0043661506,1.03529535E-4,0.0059064906,6.915471E-4
240.00,0.0,0.003447421,7.030192E-5,0.0047253156,5.039909E-4
250.00,0.0,0.0027220112,0.0,0.0037803508,3.673023E-4
