Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0024804387,0.0057416284,0.0037414988
5.15,7.1165786E-4,0.0032611894,0.002899132
5.25,6.840207E-4,0.0025495316,0.002230016
5.35,5.596533E-4,0.001865511,0.0016985186
5.45,3.0400918E-4,0.0013058577,0.0012763351
5.55,2.07279E-4,0.0010018485,9.409828E-4
5.65,1.5200459E-4,7.945695E-4,6.74603E-4
5.75,1.036395E-4,6.425649E-4,4.6301E-4
5.85,1.036395E-4,5.389254E-4,2.9493571E-4
5.95,1.036395E-4,4.3528588E-4,1.6142956E-4
6.05,4.83651E-5,3.3164638E-4,6.526483E-5
6.15,2.0727899E-5,2.832813E-4,3.1570165E-5
6.25,0.0,2.625534E-4,8.962695E-6
6.35,2.0727899E-5,2.625534E-4,6.2342965E-6
6.45,2.0727899E-5,2.418255E-4,6.2342965E-6
6.55,1.38186E-5,2.210976E-4,5.5740798E-6
6.65,2.0727899E-5,2.07279E-4,5.2089745E-6
6.75,6.9093E-6,1.865511E-4,4.9739197E-6
6.85,1.38186E-5,1.796418E-4,4.7525955E-6
6.95,5.52744E-5,1.6582319E-4,4.567235E-6
7.05,1.38186E-5,1.105488E-4,4.292074E-6
7.15,1.38186E-5,9.67302E-5,4.1251196E-6
7.25,2.76372E-5,8.2911596E-5,3.8043665E-6
7.35,6.9093E-6,5.52744E-5,3.4146733E-6
7.45,3.4546498E-5,4.83651E-5,3.0795538E-6
7.55,1.38186E-5,1.38186E-5,2.672737E-6
7.65,0.0,0.0,2.2896336E-6
7.75,0.0,0.0,1.8481775E-6
7.85,0.0,0.0,1.1175662E-6
7.95,0.0,0.0,3.6808274E-9
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
