Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.036653835,0.101988174,0.08200529
5.15,0.015946664,0.06533434,0.0649738
5.25,0.012844388,0.049387675,0.051445205
5.35,0.009348283,0.036543287,0.04069906
5.45,0.006916209,0.027195005,0.032163095
5.55,0.004705233,0.020278795,0.025382735
5.65,0.003226643,0.015573562,0.019996902
5.75,0.0020451527,0.012346919,0.015718777
5.85,0.0014094972,0.010301766,0.012320548
5.95,0.0010502136,0.008892269,0.00876393
6.05,7.1165786E-4,0.0078420555,0.0074360073
6.15,7.047486E-4,0.0071303975,0.006566692
6.25,4.3528588E-4,0.006425649,0.0058027906
6.35,5.458347E-4,0.005990363,0.0053947633
6.45,4.007394E-4,0.0054445285,0.00526252
6.55,3.523743E-4,0.005043789,0.0051650573
6.65,2.970999E-4,0.0046914145,0.0051156767
6.75,3.178278E-4,0.0043943147,0.0050660316
6.85,5.181975E-4,0.004076487,0.004874644
6.95,6.21837E-4,0.0035582895,0.004683963
7.05,0.0011607624,0.0029364524,0.004082315
7.15,9.051183E-4,0.0017756901,0.0036529945
7.25,4.6292308E-4,8.7057176E-4,0.0027331023
7.35,2.625534E-4,4.0764868E-4,0.002069884
7.45,1.036395E-4,1.450953E-4,9.5181883E-4
7.55,2.0727899E-5,4.1455798E-5,9.308644E-4
7.65,6.9093E-6,2.0727899E-5,7.872221E-4
7.75,6.9093E-6,1.38186E-5,2.8977467E-4
7.85,6.9093E-6,6.9093E-6,2.715852E-4
7.95,0.0,0.0,2.3403416E-4
8.05,0.0,0.0,1.7955832E-4
8.15,0.0,0.0,1.1865481E-4
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
