Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0026462618,0.010218855,0.01077082
5.15,0.002141883,0.0075725927,0.008504306
5.25,0.0015822296,0.0054307096,0.0067039495
5.35,0.0011814903,0.00384848,0.005273876
5.45,7.6693227E-4,0.0026669898,0.0041379277
5.55,5.803812E-4,0.0019000574,0.0032356123
5.65,3.731022E-4,0.0013196763,0.0025188776
5.75,2.625534E-4,9.465741E-4,0.0019495551
5.85,1.589139E-4,6.840207E-4,0.0014973261
5.95,8.2911596E-5,5.251068E-4,0.0011381079
6.05,7.6002296E-5,4.421952E-4,8.867616E-4
6.15,5.52744E-5,3.661929E-4,6.871102E-4
6.25,1.38186E-5,3.109185E-4,5.431088E-4
6.35,2.0727899E-5,2.970999E-4,4.287244E-4
6.45,6.9093E-6,2.7637198E-4,3.378656E-4
6.55,2.0727899E-5,2.694627E-4,2.6579064E-4
6.65,6.21837E-5,2.487348E-4,2.0853945E-4
6.75,3.4546498E-5,1.865511E-4,1.9034896E-4
6.85,2.76372E-5,1.5200459E-4,1.7589972E-4
6.95,0.0,1.243674E-4,1.414697E-4
7.05,6.21837E-5,1.243674E-4,1.4041526E-4
7.15,3.4546498E-5,6.21837E-5,1.2628539E-4
7.25,2.76372E-5,2.76372E-5,9.72067E-5
7.35,0.0,0.0,3.8483606E-5
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
