Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0023767992,0.0079387855,0.0027068371
5.15,9.120276E-4,0.0055619865,0.0021692761
5.25,7.1165786E-4,0.004649959,0.001742276
5.35,7.047486E-4,0.003938301,0.0014030978
5.45,6.011091E-4,0.0032335524,0.001133679
5.55,4.698324E-4,0.0026324433,9.19672E-4
5.65,2.901906E-4,0.0021626109,7.496803E-4
5.75,3.247371E-4,0.0018724203,6.14651E-4
5.85,2.694627E-4,0.0015476831,5.0739344E-4
5.95,2.07279E-4,0.0012782204,4.2219574E-4
6.05,1.036395E-4,0.0010709414,3.545208E-4
6.15,6.9092996E-5,9.67302E-4,3.0076466E-4
6.25,9.67302E-5,8.98209E-4,2.5857362E-4
6.35,1.312767E-4,8.014788E-4,2.332693E-4
6.45,8.2911596E-5,6.702021E-4,2.2270663E-4
6.55,7.6002296E-5,5.872905E-4,1.7311217E-4
6.65,4.83651E-5,5.112882E-4,1.7311217E-4
6.75,4.83651E-5,4.6292308E-4,1.7311217E-4
6.85,1.450953E-4,4.14558E-4,1.6130832E-4
6.95,6.21837E-5,2.694627E-4,1.2482627E-4
7.05,6.9092996E-5,2.07279E-4,1.1091907E-4
7.15,6.21837E-5,1.3818599E-4,8.975165E-5
7.25,2.0727899E-5,7.6002296E-5,8.016101E-5
7.35,4.1455798E-5,5.52744E-5,6.457193E-5
7.45,6.9093E-6,1.38186E-5,5.0809118E-5
7.55,6.9093E-6,6.9093E-6,3.8910148E-5
7.65,0.0,0.0,2.398464E-5
7.75,0.0,0.0,7.84923E-6
7.85,0.0,0.0,1.3155246E-6
7.95,0.0,0.0,3.1088908E-7
8.05,0.0,0.0,1.0035582E-8
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
