Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.002259341,0.007054395,0.0086100325
5.15,8.912997E-4,0.004795054,0.00666779
5.25,8.843904E-4,0.0039037545,0.005125012
5.35,6.21837E-4,0.003019364,0.0038995394
5.45,6.0801837E-4,0.002397527,0.0029261122
5.55,4.0764868E-4,0.0017895086,0.0021528914
5.65,2.7637198E-4,0.00138186,0.0015387004
5.75,1.6582319E-4,0.0011054879,0.001050831
5.85,1.312767E-4,9.396648E-4,6.633027E-4
5.95,1.036395E-4,8.083881E-4,3.5547797E-4
6.05,9.67302E-5,7.047486E-4,1.5808294E-4
6.15,8.2911596E-5,6.0801837E-4,7.080213E-5
6.25,3.4546498E-5,5.251068E-4,2.4014318E-5
6.35,4.83651E-5,4.905603E-4,1.3097477E-5
6.45,3.4546498E-5,4.421952E-4,8.139762E-6
6.55,2.76372E-5,4.0764868E-4,6.445268E-6
6.65,1.38186E-5,3.800115E-4,5.1073175E-6
6.75,1.38186E-5,3.661929E-4,4.992053E-6
6.85,6.21837E-5,3.523743E-4,4.664854E-6
6.95,7.6002296E-5,2.901906E-4,4.4799067E-6
7.05,5.52744E-5,2.141883E-4,4.2651513E-6
7.15,1.036395E-4,1.589139E-4,3.8918083E-6
7.25,3.4546498E-5,5.52744E-5,3.3739286E-6
7.35,1.38186E-5,2.0727899E-5,2.7473466E-6
7.45,6.9093E-6,6.9093E-6,2.0051395E-6
7.55,0.0,0.0,1.1629064E-6
7.65,0.0,0.0,8.5783194E-7
7.75,0.0,0.0,6.5986023E-7
7.85,0.0,0.0,6.027186E-7
7.95,0.0,0.0,5.478757E-7
8.05,0.0,0.0,3.6535724E-7
8.15,0.0,0.0,1.1106757E-7
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
