Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0,0.0,0.00334187
5.15,0.0,0.0,0.0025815053
5.25,0.0,0.0,0.0019775261
5.35,0.0,0.0,0.0014977686
5.45,0.0,0.0,0.0011166836
5.55,0.0,0.0,8.13977E-4
5.65,0.0,0.0,5.735286E-4
5.75,0.0,0.0,3.8253365E-4
5.85,0.0,0.0,2.3082097E-4
5.95,0.0,0.0,1.10311295E-4
6.05,0.0,0.0,5.493544E-5
6.15,0.0,0.0,2.4520865E-5
6.25,0.0,0.0,1.1354965E-5
6.35,0.0,0.0,9.369475E-6
6.45,0.0,0.0,7.841767E-6
6.55,0.0,0.0,7.069284E-6
6.65,0.0,0.0,6.294362E-6
6.75,0.0,0.0,5.6723047E-6
6.85,0.0,0.0,0.0
6.95,0.0,0.0,0.0
7.05,0.0,0.0,0.0
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
