Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.092453346,0.27680728,0.003376087
5.15,0.05242086,0.18435393,0.0028069706
5.25,0.03818079,0.13193308,0.0023549055
5.35,0.027906662,0.09375229,0.0019958173
5.45,0.021294462,0.06584563,0.0017105833
5.55,0.015083002,0.044551164,0.0014840141
5.65,0.010640322,0.029468164,0.0013040437
5.75,0.0068125697,0.018827843,0.0011610881
5.85,0.0038553893,0.012015273,0.0010475344
5.95,0.0024942572,0.008159883,9.573356E-4
6.05,0.0014578623,0.005665626,8.8568806E-4
6.15,0.0010916694,0.004207764,8.3111424E-4
6.25,7.462044E-4,0.0031160943,8.130316E-4
6.35,5.112882E-4,0.0023698898,7.996515E-4
6.45,3.109185E-4,0.0018586017,7.709408E-4
6.55,3.385557E-4,0.0015476831,7.709408E-4
6.65,1.865511E-4,0.0012091275,7.505249E-4
6.75,1.5200459E-4,0.0010225764,7.334643E-4
6.85,2.003697E-4,8.7057176E-4,7.204616E-4
6.95,1.6582319E-4,6.702021E-4,7.0143107E-4
7.05,9.67302E-5,5.0437887E-4,6.9191994E-4
7.15,1.589139E-4,4.0764868E-4,6.8172516E-4
7.25,1.105488E-4,2.487348E-4,6.693652E-4
7.35,8.2911596E-5,1.3818599E-4,6.575006E-4
7.45,2.76372E-5,5.52744E-5,6.515964E-4
7.55,2.0727899E-5,2.76372E-5,6.4007204E-4
7.65,6.9093E-6,6.9093E-6,5.748534E-4
7.75,0.0,0.0,4.6411666E-4
7.85,0.0,0.0,1.1175662E-6
7.95,0.0,0.0,3.6808274E-9
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
