Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.06476778,0.17939307,0.019337835
5.15,0.035969816,0.11462528,0.015402874
5.25,0.024410557,0.07865547,0.012277223
5.35,0.01688633,0.054244913,0.009794431
5.45,0.011759629,0.037358586,0.007822278
5.55,0.008581351,0.025598956,0.006255742
5.65,0.0058314493,0.017017605,0.005011398
5.75,0.0035306523,0.011186156,0.0040229806
5.85,0.002259341,0.007655504,0.0032378526
5.95,0.0013196763,0.005396163,0.0026142034
6.05,9.465741E-4,0.004076487,0.002118821
6.15,7.807509E-4,0.0031299128,0.0019541914
6.25,5.0437887E-4,0.002349162,0.0018234215
6.35,3.247371E-4,0.0018447831,0.0013005447
6.45,2.07279E-4,0.001520046,0.0012981286
6.55,2.901906E-4,0.0013127669,0.0011074145
6.65,2.003697E-4,0.0010225764,9.693432E-4
6.75,1.6582319E-4,8.2220667E-4,8.6124765E-4
6.85,1.312767E-4,6.5638346E-4,8.189853E-4
6.95,1.243674E-4,5.251068E-4,7.517743E-4
7.05,1.5200459E-4,4.007394E-4,7.113362E-4
7.15,7.6002296E-5,2.487348E-4,7.058973E-4
7.25,4.83651E-5,1.727325E-4,7.036652E-4
7.35,6.21837E-5,1.243674E-4,7.005397E-4
7.45,1.38186E-5,6.21837E-5,6.93288E-4
7.55,4.1455798E-5,4.83651E-5,6.745695E-4
7.65,6.9093E-6,6.9093E-6,5.4325466E-4
7.75,0.0,0.0,4.6359075E-4
7.85,0.0,0.0,1.0851867E-6
7.95,0.0,0.0,3.6808274E-9
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
