Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0947265,0.32339668,0.010977194
5.15,0.049968056,0.2286702,0.008744703
5.25,0.043196943,0.17870213,0.0069713728
5.35,0.035541438,0.13550518,0.0055627665
5.45,0.02921943,0.099963754,0.004443871
5.55,0.023560712,0.07074432,0.0035551004
5.65,0.01697615,0.04718361,0.0028491248
5.75,0.011497075,0.030207459,0.0022883487
5.85,0.0073584043,0.018710384,0.0018429082
5.95,0.0043390403,0.011351979,0.0014890824
6.05,0.002093518,0.0070129395,0.0012080284
6.15,0.0012298553,0.0049194214,0.0011125436
6.25,7.323858E-4,0.0036895662,0.0010372188
6.35,6.6329277E-4,0.0029571804,9.865968E-4
6.45,2.418255E-4,0.0022938875,9.847495E-4
6.55,1.865511E-4,0.002052062,9.43985E-4
6.65,1.589139E-4,0.001865511,9.195332E-4
6.75,1.243674E-4,0.001706597,8.71744E-4
6.85,1.450953E-4,0.0015822296,8.600054E-4
6.95,1.174581E-4,0.0014371343,8.414679E-4
7.05,2.7637198E-4,0.0013196763,8.349729E-4
7.15,2.418255E-4,0.0010433043,8.2556414E-4
7.25,3.109185E-4,8.014788E-4,8.1876287E-4
7.35,1.727325E-4,4.905603E-4,7.8959484E-4
7.45,1.796418E-4,3.178278E-4,7.6926965E-4
7.55,1.243674E-4,1.3818599E-4,7.4253295E-4
7.65,1.38186E-5,1.38186E-5,5.748078E-4
7.75,0.0,0.0,4.6411666E-4
7.85,0.0,0.0,1.1175662E-6
7.95,0.0,0.0,3.6808274E-9
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
