Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,2.694627E-4,0.0010571228,0.0030806246
5.15,2.349162E-4,7.876602E-4,0.0024102665
5.25,1.3818599E-4,5.5274396E-4,0.0018777823
5.35,8.2911596E-5,4.14558E-4,0.0014548149
5.45,4.83651E-5,3.3164638E-4,0.0011188401
5.55,3.4546498E-5,2.832813E-4,8.5196574E-4
5.65,4.1455798E-5,2.487348E-4,6.399799E-4
5.75,2.0727899E-5,2.07279E-4,4.7159358E-4
5.85,2.0727899E-5,1.865511E-4,3.3783956E-4
5.95,2.0727899E-5,1.6582319E-4,2.3159497E-4
6.05,0.0,1.450953E-4,1.4720189E-4
6.15,6.9093E-6,1.450953E-4,8.5673106E-5
6.25,0.0,1.3818599E-4,3.6799054E-5
6.35,0.0,1.3818599E-4,2.2196828E-5
6.45,0.0,1.3818599E-4,1.0597867E-5
6.55,2.0727899E-5,1.3818599E-4,5.78073E-6
6.65,6.9093E-6,1.174581E-4,5.78073E-6
6.75,4.83651E-5,1.105488E-4,4.6069417E-6
6.85,1.38186E-5,6.21837E-5,0.0
6.95,6.9093E-6,4.83651E-5,0.0
7.05,0.0,4.1455798E-5,0.0
7.15,0.0,4.1455798E-5,0.0
7.25,0.0,4.1455798E-5,0.0
7.35,0.0,4.1455798E-5,0.0
7.45,2.76372E-5,4.1455798E-5,0.0
7.55,1.38186E-5,1.38186E-5,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
