Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,9.396648E-4,0.0034270128,0.004900581
5.15,5.665626E-4,0.002487348,0.003835341
5.25,3.869208E-4,0.0019207854,0.0029891902
5.35,3.45465E-4,0.0015338645,0.0023170689
5.45,2.280069E-4,0.0011883996,0.001783184
5.55,1.450953E-4,9.603927E-4,0.0013591041
5.65,1.312767E-4,8.1529736E-4,0.0010222454
5.75,7.6002296E-5,6.840207E-4,7.5466913E-4
5.85,6.21837E-5,6.0801837E-4,5.4212566E-4
5.95,4.1455798E-5,5.458347E-4,3.7329644E-4
6.05,3.4546498E-5,5.0437887E-4,2.4845975E-4
6.15,4.83651E-5,4.698324E-4,1.5031984E-4
6.25,2.0727899E-5,4.214673E-4,1.0289894E-4
6.35,1.38186E-5,4.007394E-4,6.620488E-5
6.45,6.9093E-6,3.869208E-4,3.7263246E-5
6.55,2.0727899E-5,3.800115E-4,2.50986E-5
6.65,2.0727899E-5,3.592836E-4,1.5395384E-5
6.75,1.38186E-5,3.385557E-4,1.2348375E-5
6.85,1.38186E-5,3.247371E-4,9.804929E-6
6.95,1.38186E-5,3.109185E-4,9.520643E-6
7.05,2.0727899E-5,2.970999E-4,9.189699E-6
7.15,0.0,2.7637198E-4,8.947155E-6
7.25,4.1455798E-5,2.7637198E-4,6.986416E-6
7.35,2.0727899E-5,2.349162E-4,3.7752084E-6
7.45,2.76372E-5,2.141883E-4,1.675962E-6
7.55,2.76372E-5,1.865511E-4,9.278016E-7
7.65,6.21837E-5,1.589139E-4,4.7622686E-7
7.75,8.98209E-5,9.67302E-5,9.620196E-8
7.85,6.9093E-6,6.9093E-6,1.6957284E-9
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
